S50.00XA@Contusion of unspecified elbow, initial encounter
S52.264J@Nondisp seg fx shaft of ulna, r arm, 7thJ
S52.264K@Nondisp seg fx shaft of ulna, r arm, 7thK
S52.264M@Nondisp seg fx shaft of ulna, r arm, 7thM
S52.264N@Nondisp seg fx shaft of ulna, r arm, 7thN
S52.264P@Nondisp seg fx shaft of ulna, r arm, 7thP
S52.264Q@Nondisp seg fx shaft of ulna, r arm, 7thQ
S52.264R@Nondisp seg fx shaft of ulna, r arm, 7thR
S52.264S@Nondisp segmental fx shaft of ulna, right arm, sequela
S52.265A@Nondisp segmental fracture of shaft of ulna, left arm, init
S52.265B@Nondisp seg fx shaft of ulna, l arm, 7thB
S52.265C@Nondisp seg fx shaft of ulna, l arm, 7thC
S52.265D@Nondisp seg fx shaft of ulna, l arm, 7thD
S52.265E@Nondisp seg fx shaft of ulna, l arm, 7thE
S52.265F@Nondisp seg fx shaft of ulna, l arm, 7thF
S52.265G@Nondisp seg fx shaft of ulna, l arm, 7thG
S52.265H@Nondisp seg fx shaft of ulna, l arm, 7thH
S52.265J@Nondisp seg fx shaft of ulna, l arm, 7thJ
S52.265K@Nondisp seg fx shaft of ulna, l arm, 7thK
S52.265M@Nondisp seg fx shaft of ulna, l arm, 7thM
S52.265N@Nondisp seg fx shaft of ulna, l arm, 7thN
S52.265P@Nondisp seg fx shaft of ulna, l arm, 7thP
S52.265Q@Nondisp seg fx shaft of ulna, l arm, 7thQ
S52.265R@Nondisp seg fx shaft of ulna, l arm, 7thR
S52.265S@Nondisp segmental fx shaft of ulna, left arm, sequela
S52.266A@Nondisp segmental fracture of shaft of ulna, unsp arm, init
S52.266B@Nondisp seg fx shaft of ulna, unsp arm, 7thB
S52.266C@Nondisp seg fx shaft of ulna, unsp arm, 7thC
S52.266D@Nondisp seg fx shaft of ulna, unsp arm, 7thD
S52.266E@Nondisp seg fx shaft of ulna, unsp arm, 7thE
S52.266F@Nondisp seg fx shaft of ulna, unsp arm, 7thF
S52.266G@Nondisp seg fx shaft of ulna, unsp arm, 7thG
S52.266H@Nondisp seg fx shaft of ulna, unsp arm, 7thH
S52.266J@Nondisp seg fx shaft of ulna, unsp arm, 7thJ
S52.266K@Nondisp seg fx shaft of ulna, unsp arm, 7thK
S52.266M@Nondisp seg fx shaft of ulna, unsp arm, 7thM
S52.266N@Nondisp seg fx shaft of ulna, unsp arm, 7thN
S52.266P@Nondisp seg fx shaft of ulna, unsp arm, 7thP
S52.266Q@Nondisp seg fx shaft of ulna, unsp arm, 7thQ
S52.266R@Nondisp seg fx shaft of ulna, unsp arm, 7thR
S52.266S@Nondisp segmental fx shaft of ulna, unsp arm, sequela
S52.271A@Monteggia's fracture of right ulna, init for clos fx
S52.271B@Monteggia's fracture of right ulna, init for opn fx type I/2
S52.271C@Monteggia's fx right ulna, init for opn fx type 3A/B/C
S52.271D@Monteggia's fx right ulna, subs for clos fx w routn heal
S52.271E@Monteggia's fx r ulna, subs for opn fx type I/2 w routn heal
S52.271F@Monteggia's fx r ulna, 7thF
S52.271G@Monteggia's fx right ulna, subs for clos fx w delay heal
S52.271H@Monteggia's fx r ulna, subs for opn fx type I/2 w delay heal
S52.271J@Monteggia's fx r ulna, 7thJ
S52.271K@Monteggia's fx right ulna, subs for clos fx w nonunion
S52.271M@Monteggia's fx r ulna, subs for opn fx type I/2 w nonunion
S52.271N@Monteggia's fx r ulna, 7thN
S52.271P@Monteggia's fx right ulna, subs for clos fx w malunion
S52.271Q@Monteggia's fx r ulna, subs for opn fx type I/2 w malunion
S52.271R@Monteggia's fx r ulna, 7thR
S52.271S@Monteggia's fracture of right ulna, sequela
S52.272A@Monteggia's fracture of left ulna, init for clos fx
S52.272B@Monteggia's fracture of left ulna, init for opn fx type I/2
S52.272C@Monteggia's fx left ulna, init for opn fx type 3A/B/C
S52.272D@Monteggia's fx left ulna, subs for clos fx w routn heal
S52.272E@Monteggia's fx l ulna, subs for opn fx type I/2 w routn heal
S52.272F@Monteggia's fx l ulna, 7thF
S52.272G@Monteggia's fx left ulna, subs for clos fx w delay heal
S52.272H@Monteggia's fx l ulna, subs for opn fx type I/2 w delay heal
S52.272J@Monteggia's fx l ulna, 7thJ
S52.272K@Monteggia's fx left ulna, subs for clos fx w nonunion
S52.272M@Monteggia's fx l ulna, subs for opn fx type I/2 w nonunion
S52.272N@Monteggia's fx l ulna, 7thN
S52.272P@Monteggia's fx left ulna, subs for clos fx w malunion
S52.272Q@Monteggia's fx l ulna, subs for opn fx type I/2 w malunion
S52.272R@Monteggia's fx l ulna, 7thR
S52.272S@Monteggia's fracture of left ulna, sequela
S52.279A@Monteggia's fracture of unsp ulna, init for clos fx
S52.279B@Monteggia's fracture of unsp ulna, init for opn fx type I/2
S52.279C@Monteggia's fx unsp ulna, init for opn fx type 3A/B/C
S52.279D@Monteggia's fx unsp ulna, subs for clos fx w routn heal
S52.279E@Monteggia's fx unsp ulna, 7thE
S52.279F@Monteggia's fx unsp ulna, 7thF
S52.279G@Monteggia's fx unsp ulna, subs for clos fx w delay heal
S52.279H@Monteggia's fx unsp ulna, 7thH
S52.279J@Monteggia's fx unsp ulna, 7thJ
S52.279K@Monteggia's fx unsp ulna, subs for clos fx w nonunion
S52.279M@Monteggia's fx unsp ulna, 7thM
S52.279N@Monteggia's fx unsp ulna, 7thN
S52.279P@Monteggia's fx unsp ulna, subs for clos fx w malunion
S52.279Q@Monteggia's fx unsp ulna, 7thQ
S52.279R@Monteggia's fx unsp ulna, 7thR
S52.279S@Monteggia's fracture of unspecified ulna, sequela
S52.281A@Bent bone of right ulna, init encntr for closed fracture
S52.281B@Bent bone of right ulna, init for opn fx type I/2
S52.281C@Bent bone of right ulna, init for opn fx type 3A/B/C
S52.281D@Bent bone of right ulna, subs for clos fx w routn heal
S52.281E@Bent bone of r ulna, subs for opn fx type I/2 w routn heal
S52.281F@Bent bone of r ulna, 7thF
S52.281G@Bent bone of right ulna, subs for clos fx w delay heal
S52.281H@Bent bone of r ulna, subs for opn fx type I/2 w delay heal
S52.281J@Bent bone of r ulna, 7thJ
S52.281K@Bent bone of right ulna, subs for clos fx w nonunion
S52.281M@Bent bone of right ulna, subs for opn fx type I/2 w nonunion
S52.281N@Bent bone of r ulna, subs for opn fx type 3A/B/C w nonunion
S52.281P@Bent bone of right ulna, subs for clos fx w malunion
S52.281Q@Bent bone of right ulna, subs for opn fx type I/2 w malunion
S52.281R@Bent bone of r ulna, subs for opn fx type 3A/B/C w malunion
S52.281S@Bent bone of right ulna, sequela
S52.282A@Bent bone of left ulna, init encntr for closed fracture
S52.282B@Bent bone of left ulna, init for opn fx type I/2
S52.282C@Bent bone of left ulna, init for opn fx type 3A/B/C
S52.282D@Bent bone of left ulna, subs for clos fx w routn heal
S52.282E@Bent bone of l ulna, subs for opn fx type I/2 w routn heal
S52.282F@Bent bone of l ulna, 7thF
S52.282G@Bent bone of left ulna, subs for clos fx w delay heal
S52.282H@Bent bone of l ulna, subs for opn fx type I/2 w delay heal
S52.282J@Bent bone of l ulna, 7thJ
S52.282K@Bent bone of left ulna, subs for clos fx w nonunion
S52.282M@Bent bone of left ulna, subs for opn fx type I/2 w nonunion
S52.282N@Bent bone of l ulna, subs for opn fx type 3A/B/C w nonunion
S52.282P@Bent bone of left ulna, subs for clos fx w malunion
S52.282Q@Bent bone of left ulna, subs for opn fx type I/2 w malunion
S52.282R@Bent bone of l ulna, subs for opn fx type 3A/B/C w malunion
S52.282S@Bent bone of left ulna, sequela
S52.283A@Bent bone of unsp ulna, init encntr for closed fracture
S52.283B@Bent bone of unsp ulna, init for opn fx type I/2
S52.283C@Bent bone of unsp ulna, init for opn fx type 3A/B/C
S52.283D@Bent bone of unsp ulna, subs for clos fx w routn heal
S52.283E@Bent bone of unsp ulna, 7thE
S52.283F@Bent bone of unsp ulna, 7thF
S52.283G@Bent bone of unsp ulna, subs for clos fx w delay heal
S52.283H@Bent bone of unsp ulna, 7thH
S52.283J@Bent bone of unsp ulna, 7thJ
S52.283K@Bent bone of unsp ulna, subs for clos fx w nonunion
S52.283M@Bent bone of unsp ulna, subs for opn fx type I/2 w nonunion
S52.283N@Bent bone of unsp ulna, 7thN
S52.283P@Bent bone of unsp ulna, subs for clos fx w malunion
S52.283Q@Bent bone of unsp ulna, subs for opn fx type I/2 w malunion
S52.283R@Bent bone of unsp ulna, 7thR
S52.283S@Bent bone of unspecified ulna, sequela
S52.291A@Oth fracture of shaft of right ulna, init for clos fx
S52.291B@Oth fx shaft of right ulna, init for opn fx type I/2
S52.291C@Oth fx shaft of right ulna, init for opn fx type 3A/B/C
S52.291D@Oth fx shaft of right ulna, subs for clos fx w routn heal
S52.291E@Oth fx shaft of r ulna, 7thE
S52.291F@Oth fx shaft of r ulna, 7thF
S52.291G@Oth fx shaft of right ulna, subs for clos fx w delay heal
S52.291H@Oth fx shaft of r ulna, 7thH
S52.291J@Oth fx shaft of r ulna, 7thJ
S52.291K@Oth fx shaft of right ulna, subs for clos fx w nonunion
S52.291M@Oth fx shaft of r ulna, subs for opn fx type I/2 w nonunion
S52.291N@Oth fx shaft of r ulna, 7thN
S52.291P@Oth fx shaft of right ulna, subs for clos fx w malunion
S52.291Q@Oth fx shaft of r ulna, subs for opn fx type I/2 w malunion
S52.291R@Oth fx shaft of r ulna, 7thR
S52.291S@Other fracture of shaft of right ulna, sequela
S52.292A@Oth fracture of shaft of left ulna, init for clos fx
S52.292B@Oth fracture of shaft of left ulna, init for opn fx type I/2
S52.292C@Oth fx shaft of left ulna, init for opn fx type 3A/B/C
S52.292D@Oth fx shaft of left ulna, subs for clos fx w routn heal
S52.292E@Oth fx shaft of l ulna, 7thE
S52.292F@Oth fx shaft of l ulna, 7thF
S52.292G@Oth fx shaft of left ulna, subs for clos fx w delay heal
S52.292H@Oth fx shaft of l ulna, 7thH
S52.292J@Oth fx shaft of l ulna, 7thJ
S52.292K@Oth fx shaft of left ulna, subs for clos fx w nonunion
S52.292M@Oth fx shaft of l ulna, subs for opn fx type I/2 w nonunion
S52.292N@Oth fx shaft of l ulna, 7thN
S52.292P@Oth fx shaft of left ulna, subs for clos fx w malunion
S52.292Q@Oth fx shaft of l ulna, subs for opn fx type I/2 w malunion
S52.292R@Oth fx shaft of l ulna, 7thR
S52.292S@Other fracture of shaft of left ulna, sequela
S52.299A@Oth fracture of shaft of unsp ulna, init for clos fx
S52.299B@Oth fracture of shaft of unsp ulna, init for opn fx type I/2
S52.299C@Oth fx shaft of unsp ulna, init for opn fx type 3A/B/C
S52.299D@Oth fx shaft of unsp ulna, subs for clos fx w routn heal
S52.299E@Oth fx shaft of unsp ulna, 7thE
S52.299F@Oth fx shaft of unsp ulna, 7thF
S52.299G@Oth fx shaft of unsp ulna, subs for clos fx w delay heal
S52.299H@Oth fx shaft of unsp ulna, 7thH
S52.299J@Oth fx shaft of unsp ulna, 7thJ
S52.299K@Oth fx shaft of unsp ulna, subs for clos fx w nonunion
S52.299M@Oth fx shaft of unsp ulna, 7thM
S52.299N@Oth fx shaft of unsp ulna, 7thN
S52.299P@Oth fx shaft of unsp ulna, subs for clos fx w malunion
S52.299Q@Oth fx shaft of unsp ulna, 7thQ
S52.299R@Oth fx shaft of unsp ulna, 7thR
S52.299S@Other fracture of shaft of unspecified ulna, sequela
S52.301A@Unsp fracture of shaft of right radius, init for clos fx
S52.301B@Unsp fracture of shaft of r radius, init for opn fx type I/2
S52.301C@Unsp fx shaft of r radius, init for opn fx type 3A/B/C
S52.301D@Unsp fx shaft of r radius, subs for clos fx w routn heal
S52.301E@Unsp fx shaft of r rad, 7thE
S52.301F@Unsp fx shaft of r rad, 7thF
S52.301G@Unsp fx shaft of r radius, subs for clos fx w delay heal
S52.301H@Unsp fx shaft of r rad, 7thH
S52.301J@Unsp fx shaft of r rad, 7thJ
S52.301K@Unsp fx shaft of r radius, subs for clos fx w nonunion
S52.301M@Unsp fx shaft of r rad, subs for opn fx type I/2 w nonunion
S52.301N@Unsp fx shaft of r rad, 7thN
S52.301P@Unsp fx shaft of r radius, subs for clos fx w malunion
S52.301Q@Unsp fx shaft of r rad, subs for opn fx type I/2 w malunion
S52.301R@Unsp fx shaft of r rad, 7thR
S52.301S@Unspecified fracture of shaft of right radius, sequela
S52.302A@Unsp fracture of shaft of left radius, init for clos fx
S52.302B@Unsp fx shaft of left radius, init for opn fx type I/2
S52.302C@Unsp fx shaft of left radius, init for opn fx type 3A/B/C
S52.302D@Unsp fx shaft of left radius, subs for clos fx w routn heal
S52.302E@Unsp fx shaft of l rad, 7thE
S52.302F@Unsp fx shaft of l rad, 7thF
S52.302G@Unsp fx shaft of left radius, subs for clos fx w delay heal
S52.302H@Unsp fx shaft of l rad, 7thH
S52.302J@Unsp fx shaft of l rad, 7thJ
S52.302K@Unsp fx shaft of left radius, subs for clos fx w nonunion
S52.302M@Unsp fx shaft of l rad, subs for opn fx type I/2 w nonunion
S52.302N@Unsp fx shaft of l rad, 7thN
S52.302P@Unsp fx shaft of left radius, subs for clos fx w malunion
S52.302Q@Unsp fx shaft of l rad, subs for opn fx type I/2 w malunion
S52.302R@Unsp fx shaft of l rad, 7thR
S52.302S@Unspecified fracture of shaft of left radius, sequela
S52.309A@Unsp fracture of shaft of unsp radius, init for clos fx
S52.309B@Unsp fx shaft of unsp radius, init for opn fx type I/2
S52.309C@Unsp fx shaft of unsp radius, init for opn fx type 3A/B/C
S52.309D@Unsp fx shaft of unsp radius, subs for clos fx w routn heal
S52.309E@Unsp fx shaft of unsp rad, 7thE
S52.309F@Unsp fx shaft of unsp rad, 7thF
S52.309G@Unsp fx shaft of unsp radius, subs for clos fx w delay heal
S52.309H@Unsp fx shaft of unsp rad, 7thH
S52.309J@Unsp fx shaft of unsp rad, 7thJ
S52.309K@Unsp fx shaft of unsp radius, subs for clos fx w nonunion
S52.309M@Unsp fx shaft of unsp rad, 7thM
S52.309N@Unsp fx shaft of unsp rad, 7thN
S52.309P@Unsp fx shaft of unsp radius, subs for clos fx w malunion
S52.309Q@Unsp fx shaft of unsp rad, 7thQ
S52.309R@Unsp fx shaft of unsp rad, 7thR
S52.309S@Unspecified fracture of shaft of unspecified radius, sequela
S52.311A@Greenstick fracture of shaft of radius, right arm, init
S52.311D@Greenstick fx shaft of rad, r arm, subs for fx w routn heal
S52.311G@Greenstick fx shaft of rad, r arm, subs for fx w delay heal
S52.311K@Greenstick fx shaft of rad, r arm, subs for fx w nonunion
S52.311P@Greenstick fx shaft of rad, r arm, subs for fx w malunion
S52.311S@Greenstick fracture of shaft of radius, right arm, sequela
S52.312A@Greenstick fracture of shaft of radius, left arm, init
S52.312D@Greenstick fx shaft of rad, l arm, subs for fx w routn heal
S52.312G@Greenstick fx shaft of rad, l arm, subs for fx w delay heal
S52.312K@Greenstick fx shaft of rad, left arm, subs for fx w nonunion
S52.312P@Greenstick fx shaft of rad, left arm, subs for fx w malunion
S52.312S@Greenstick fracture of shaft of radius, left arm, sequela
S52.319A@Greenstick fracture of shaft of radius, unsp arm, init
S52.319D@Greenstick fx shaft of rad, unsp arm, 7thD
S52.319G@Greenstick fx shaft of rad, unsp arm, 7thG
S52.319K@Greenstick fx shaft of rad, unsp arm, subs for fx w nonunion
S52.319P@Greenstick fx shaft of rad, unsp arm, subs for fx w malunion
S52.319S@Greenstick fracture of shaft of radius, unsp arm, sequela
S52.321A@Displaced transverse fracture of shaft of right radius, init
S52.321B@Displ transverse fx shaft of r rad, init for opn fx type I/2
S52.321C@Displ transverse fx shaft of r rad, 7thC
S52.321D@Displ transverse fx shaft of r rad, 7thD
S52.321E@Displ transverse fx shaft of r rad, 7thE
S52.321F@Displ transverse fx shaft of r rad, 7thF
S52.321G@Displ transverse fx shaft of r rad, 7thG
S52.321H@Displ transverse fx shaft of r rad, 7thH
S52.321J@Displ transverse fx shaft of r rad, 7thJ
S52.321K@Displ transverse fx shaft of r rad, 7thK
S52.321M@Displ transverse fx shaft of r rad, 7thM
S52.321N@Displ transverse fx shaft of r rad, 7thN
S52.321P@Displ transverse fx shaft of r rad, 7thP
S52.321Q@Displ transverse fx shaft of r rad, 7thQ
S52.321R@Displ transverse fx shaft of r rad, 7thR
S52.321S@Displaced transverse fracture of shaft of r radius, sequela
S52.322A@Displaced transverse fracture of shaft of left radius, init
S52.322B@Displ transverse fx shaft of l rad, init for opn fx type I/2
S52.322C@Displ transverse fx shaft of l rad, 7thC
S52.322D@Displ transverse fx shaft of l rad, 7thD
S52.322E@Displ transverse fx shaft of l rad, 7thE
S52.322F@Displ transverse fx shaft of l rad, 7thF
S52.322G@Displ transverse fx shaft of l rad, 7thG
S52.322H@Displ transverse fx shaft of l rad, 7thH
S52.322J@Displ transverse fx shaft of l rad, 7thJ
S52.322K@Displ transverse fx shaft of l rad, 7thK
S52.322M@Displ transverse fx shaft of l rad, 7thM
S52.322N@Displ transverse fx shaft of l rad, 7thN
S52.322P@Displ transverse fx shaft of l rad, 7thP
S52.322Q@Displ transverse fx shaft of l rad, 7thQ
S52.322R@Displ transverse fx shaft of l rad, 7thR
S52.322S@Displaced transverse fx shaft of left radius, sequela
S52.323A@Displaced transverse fracture of shaft of unsp radius, init
S52.323B@Displ transverse fx shaft of unsp rad, 7thB
S52.323C@Displ transverse fx shaft of unsp rad, 7thC
S52.323D@Displ transverse fx shaft of unsp rad, 7thD
S52.323E@Displ transverse fx shaft of unsp rad, 7thE
S52.323F@Displ transverse fx shaft of unsp rad, 7thF
S52.323G@Displ transverse fx shaft of unsp rad, 7thG
S52.323H@Displ transverse fx shaft of unsp rad, 7thH
S52.323J@Displ transverse fx shaft of unsp rad, 7thJ
S52.323K@Displ transverse fx shaft of unsp rad, 7thK
S52.323M@Displ transverse fx shaft of unsp rad, 7thM
S52.323N@Displ transverse fx shaft of unsp rad, 7thN
S52.323P@Displ transverse fx shaft of unsp rad, 7thP
S52.323Q@Displ transverse fx shaft of unsp rad, 7thQ
S52.323R@Displ transverse fx shaft of unsp rad, 7thR
S52.323S@Displaced transverse fx shaft of unsp radius, sequela
S52.324A@Nondisp transverse fracture of shaft of right radius, init
S52.324B@Nondisp transverse fx shaft of r rad, 7thB
S52.324C@Nondisp transverse fx shaft of r rad, 7thC
S52.324D@Nondisp transverse fx shaft of r rad, 7thD
S52.324E@Nondisp transverse fx shaft of r rad, 7thE
S52.324F@Nondisp transverse fx shaft of r rad, 7thF
S52.324G@Nondisp transverse fx shaft of r rad, 7thG
S52.324H@Nondisp transverse fx shaft of r rad, 7thH
S52.324J@Nondisp transverse fx shaft of r rad, 7thJ
S52.324K@Nondisp transverse fx shaft of r rad, 7thK
S52.324M@Nondisp transverse fx shaft of r rad, 7thM
S52.324N@Nondisp transverse fx shaft of r rad, 7thN
S52.324P@Nondisp transverse fx shaft of r rad, 7thP
S52.324Q@Nondisp transverse fx shaft of r rad, 7thQ
S52.324R@Nondisp transverse fx shaft of r rad, 7thR
S52.324S@Nondisp transverse fracture of shaft of r radius, sequela
S52.325A@Nondisp transverse fracture of shaft of left radius, init
S52.325B@Nondisp transverse fx shaft of l rad, 7thB
S52.325C@Nondisp transverse fx shaft of l rad, 7thC
S52.325D@Nondisp transverse fx shaft of l rad, 7thD
S52.325E@Nondisp transverse fx shaft of l rad, 7thE
S52.325F@Nondisp transverse fx shaft of l rad, 7thF
S52.325G@Nondisp transverse fx shaft of l rad, 7thG
S52.325H@Nondisp transverse fx shaft of l rad, 7thH
S52.325J@Nondisp transverse fx shaft of l rad, 7thJ
S52.325K@Nondisp transverse fx shaft of l rad, 7thK
S52.325M@Nondisp transverse fx shaft of l rad, 7thM
S52.325N@Nondisp transverse fx shaft of l rad, 7thN
S52.325P@Nondisp transverse fx shaft of l rad, 7thP
S52.325Q@Nondisp transverse fx shaft of l rad, 7thQ
S52.325R@Nondisp transverse fx shaft of l rad, 7thR
S52.325S@Nondisp transverse fracture of shaft of left radius, sequela
S52.326A@Nondisp transverse fracture of shaft of unsp radius, init
S52.326B@Nondisp transverse fx shaft of unsp rad, 7thB
S52.326C@Nondisp transverse fx shaft of unsp rad, 7thC
S52.326D@Nondisp transverse fx shaft of unsp rad, 7thD
S52.326E@Nondisp transverse fx shaft of unsp rad, 7thE
S52.326F@Nondisp transverse fx shaft of unsp rad, 7thF
S52.326G@Nondisp transverse fx shaft of unsp rad, 7thG
S52.326H@Nondisp transverse fx shaft of unsp rad, 7thH
S52.326J@Nondisp transverse fx shaft of unsp rad, 7thJ
S52.326K@Nondisp transverse fx shaft of unsp rad, 7thK
S52.326M@Nondisp transverse fx shaft of unsp rad, 7thM
S52.326N@Nondisp transverse fx shaft of unsp rad, 7thN
S52.326P@Nondisp transverse fx shaft of unsp rad, 7thP
S52.326Q@Nondisp transverse fx shaft of unsp rad, 7thQ
S52.326R@Nondisp transverse fx shaft of unsp rad, 7thR
S52.326S@Nondisp transverse fracture of shaft of unsp radius, sequela
S52.331A@Displaced oblique fracture of shaft of right radius, init
S52.331B@Displ oblique fx shaft of r radius, init for opn fx type I/2
S52.331C@Displ oblique fx shaft of r rad, init for opn fx type 3A/B/C
S52.331D@Displ oblique fx shaft of r rad, 7thD
S52.331E@Displ oblique fx shaft of r rad, 7thE
S52.331F@Displ oblique fx shaft of r rad, 7thF
S52.331G@Displ oblique fx shaft of r rad, 7thG
S52.331H@Displ oblique fx shaft of r rad, 7thH
S52.331J@Displ oblique fx shaft of r rad, 7thJ
S52.331K@Displ oblique fx shaft of r rad, subs for clos fx w nonunion
S52.331M@Displ oblique fx shaft of r rad, 7thM
S52.331N@Displ oblique fx shaft of r rad, 7thN
S52.331P@Displ oblique fx shaft of r rad, subs for clos fx w malunion
S52.331Q@Displ oblique fx shaft of r rad, 7thQ
S52.331R@Displ oblique fx shaft of r rad, 7thR
S52.331S@Displaced oblique fracture of shaft of right radius, sequela
S52.332A@Displaced oblique fracture of shaft of left radius, init
S52.332B@Displ oblique fx shaft of left rad, init for opn fx type I/2
S52.332C@Displ oblique fx shaft of l rad, init for opn fx type 3A/B/C
S52.332D@Displ oblique fx shaft of l rad, 7thD
S52.332E@Displ oblique fx shaft of l rad, 7thE
S52.332F@Displ oblique fx shaft of l rad, 7thF
S52.332G@Displ oblique fx shaft of l rad, 7thG
S52.332H@Displ oblique fx shaft of l rad, 7thH
S52.332J@Displ oblique fx shaft of l rad, 7thJ
S52.332K@Displ oblique fx shaft of l rad, subs for clos fx w nonunion
S52.332M@Displ oblique fx shaft of l rad, 7thM
S52.332N@Displ oblique fx shaft of l rad, 7thN
