S60.00XA@Contusion of unsp finger without damage to nail, init encntr
S62.155K@Nondisp fx of hook pro of hamate bone, l wrs, 7thK
S62.155P@Nondisp fx of hook pro of hamate bone, l wrs, 7thP
S62.155S@Nondisp fx of hook process of hamate bone, l wrist, sequela
S62.156A@Nondisp fx of hook process of hamate bone, unsp wrist, init
S62.156B@Nondisp fx of hook pro of hamate bone, unsp wrs, 7thB
S62.156D@Nondisp fx of hook pro of hamate bone, unsp wrs, 7thD
S62.156G@Nondisp fx of hook pro of hamate bone, unsp wrs, 7thG
S62.156K@Nondisp fx of hook pro of hamate bone, unsp wrs, 7thK
S62.156P@Nondisp fx of hook pro of hamate bone, unsp wrs, 7thP
S62.156S@Nondisp fx of hook pro of hamate bone, unsp wrist, sequela
S62.161A@Disp fx of pisiform, right wrist, init for clos fx
S62.161B@Disp fx of pisiform, right wrist, init for opn fx
S62.161D@Disp fx of pisiform, right wrist, subs for fx w routn heal
S62.161G@Disp fx of pisiform, right wrist, subs for fx w delay heal
S62.161K@Disp fx of pisiform, right wrist, subs for fx w nonunion
S62.161P@Disp fx of pisiform, right wrist, subs for fx w malunion
S62.161S@Displaced fracture of pisiform, right wrist, sequela
S62.162A@Disp fx of pisiform, left wrist, init for clos fx
S62.162B@Disp fx of pisiform, left wrist, init for opn fx
S62.162D@Disp fx of pisiform, left wrist, subs for fx w routn heal
S62.162G@Disp fx of pisiform, left wrist, subs for fx w delay heal
S62.162K@Disp fx of pisiform, left wrist, subs for fx w nonunion
S62.162P@Disp fx of pisiform, left wrist, subs for fx w malunion
S62.162S@Displaced fracture of pisiform, left wrist, sequela
S62.163A@Disp fx of pisiform, unsp wrist, init for clos fx
S62.163B@Disp fx of pisiform, unsp wrist, init for opn fx
S62.163D@Disp fx of pisiform, unsp wrist, subs for fx w routn heal
S62.163G@Disp fx of pisiform, unsp wrist, subs for fx w delay heal
S62.163K@Disp fx of pisiform, unsp wrist, subs for fx w nonunion
S62.163P@Disp fx of pisiform, unsp wrist, subs for fx w malunion
S62.163S@Displaced fracture of pisiform, unspecified wrist, sequela
S62.164A@Nondisp fx of pisiform, right wrist, init for clos fx
S62.164B@Nondisp fx of pisiform, right wrist, init for opn fx
S62.164D@Nondisp fx of pisiform, r wrist, subs for fx w routn heal
S62.164G@Nondisp fx of pisiform, r wrist, subs for fx w delay heal
S62.164K@Nondisp fx of pisiform, right wrist, subs for fx w nonunion
S62.164P@Nondisp fx of pisiform, right wrist, subs for fx w malunion
S62.164S@Nondisplaced fracture of pisiform, right wrist, sequela
S62.165A@Nondisp fx of pisiform, left wrist, init for clos fx
S62.165B@Nondisp fx of pisiform, left wrist, init for opn fx
S62.165D@Nondisp fx of pisiform, left wrist, subs for fx w routn heal
S62.165G@Nondisp fx of pisiform, left wrist, subs for fx w delay heal
S62.165K@Nondisp fx of pisiform, left wrist, subs for fx w nonunion
S62.165P@Nondisp fx of pisiform, left wrist, subs for fx w malunion
S62.165S@Nondisplaced fracture of pisiform, left wrist, sequela
S62.166A@Nondisp fx of pisiform, unsp wrist, init for clos fx
S62.166B@Nondisp fx of pisiform, unsp wrist, init for opn fx
S62.166D@Nondisp fx of pisiform, unsp wrist, subs for fx w routn heal
S62.166G@Nondisp fx of pisiform, unsp wrist, subs for fx w delay heal
S62.166K@Nondisp fx of pisiform, unsp wrist, subs for fx w nonunion
S62.166P@Nondisp fx of pisiform, unsp wrist, subs for fx w malunion
S62.166S@Nondisp fx of pisiform, unspecified wrist, sequela
S62.171A@Disp fx of trapezium, right wrist, init for clos fx
S62.171B@Disp fx of trapezium, right wrist, init for opn fx
S62.171D@Disp fx of trapezium, right wrist, subs for fx w routn heal
S62.171G@Disp fx of trapezium, right wrist, subs for fx w delay heal
S62.171K@Disp fx of trapezium, right wrist, subs for fx w nonunion
S62.171P@Disp fx of trapezium, right wrist, subs for fx w malunion
S62.171S@Displaced fracture of trapezium, right wrist, sequela
S62.172A@Disp fx of trapezium, left wrist, init for clos fx
S62.172B@Disp fx of trapezium, left wrist, init for opn fx
S62.172D@Disp fx of trapezium, left wrist, subs for fx w routn heal
S62.172G@Disp fx of trapezium, left wrist, subs for fx w delay heal
S62.172K@Disp fx of trapezium, left wrist, subs for fx w nonunion
S62.172P@Disp fx of trapezium, left wrist, subs for fx w malunion
S62.172S@Displaced fracture of trapezium, left wrist, sequela
S62.173A@Disp fx of trapezium, unsp wrist, init for clos fx
S62.173B@Disp fx of trapezium, unsp wrist, init for opn fx
S62.173D@Disp fx of trapezium, unsp wrist, subs for fx w routn heal
S62.173G@Disp fx of trapezium, unsp wrist, subs for fx w delay heal
S62.173K@Disp fx of trapezium, unsp wrist, subs for fx w nonunion
S62.173P@Disp fx of trapezium, unsp wrist, subs for fx w malunion
S62.173S@Displaced fracture of trapezium, unspecified wrist, sequela
S62.174A@Nondisp fx of trapezium, right wrist, init for clos fx
S62.174B@Nondisp fx of trapezium, right wrist, init for opn fx
S62.174D@Nondisp fx of trapezium, r wrist, subs for fx w routn heal
S62.174G@Nondisp fx of trapezium, r wrist, subs for fx w delay heal
S62.174K@Nondisp fx of trapezium, right wrist, subs for fx w nonunion
S62.174P@Nondisp fx of trapezium, right wrist, subs for fx w malunion
S62.174S@Nondisplaced fracture of trapezium, right wrist, sequela
S62.175A@Nondisp fx of trapezium, left wrist, init for clos fx
S62.175B@Nondisp fx of trapezium, left wrist, init for opn fx
S62.175D@Nondisp fx of trapezium, l wrist, subs for fx w routn heal
S62.175G@Nondisp fx of trapezium, l wrist, subs for fx w delay heal
S62.175K@Nondisp fx of trapezium, left wrist, subs for fx w nonunion
S62.175P@Nondisp fx of trapezium, left wrist, subs for fx w malunion
S62.175S@Nondisplaced fracture of trapezium, left wrist, sequela
S62.176A@Nondisp fx of trapezium, unsp wrist, init for clos fx
S62.176B@Nondisp fx of trapezium, unsp wrist, init for opn fx
S62.176D@Nondisp fx of trapezm, unsp wrist, subs for fx w routn heal
S62.176G@Nondisp fx of trapezm, unsp wrist, subs for fx w delay heal
S62.176K@Nondisp fx of trapezium, unsp wrist, subs for fx w nonunion
S62.176P@Nondisp fx of trapezium, unsp wrist, subs for fx w malunion
S62.176S@Nondisp fx of trapezium, unspecified wrist, sequela
S62.181A@Disp fx of trapezoid, right wrist, init for clos fx
S62.181B@Disp fx of trapezoid, right wrist, init for opn fx
S62.181D@Disp fx of trapezoid, right wrist, subs for fx w routn heal
S62.181G@Disp fx of trapezoid, right wrist, subs for fx w delay heal
S62.181K@Disp fx of trapezoid, right wrist, subs for fx w nonunion
S62.181P@Disp fx of trapezoid, right wrist, subs for fx w malunion
S62.181S@Displaced fracture of trapezoid, right wrist, sequela
S62.182A@Disp fx of trapezoid, left wrist, init for clos fx
S62.182B@Disp fx of trapezoid, left wrist, init for opn fx
S62.182D@Disp fx of trapezoid, left wrist, subs for fx w routn heal
S62.182G@Disp fx of trapezoid, left wrist, subs for fx w delay heal
S62.182K@Disp fx of trapezoid, left wrist, subs for fx w nonunion
S62.182P@Disp fx of trapezoid, left wrist, subs for fx w malunion
S62.182S@Displaced fracture of trapezoid, left wrist, sequela
S62.183A@Disp fx of trapezoid, unsp wrist, init for clos fx
S62.183B@Disp fx of trapezoid, unsp wrist, init for opn fx
S62.183D@Disp fx of trapezoid, unsp wrist, subs for fx w routn heal
S62.183G@Disp fx of trapezoid, unsp wrist, subs for fx w delay heal
S62.183K@Disp fx of trapezoid, unsp wrist, subs for fx w nonunion
S62.183P@Disp fx of trapezoid, unsp wrist, subs for fx w malunion
S62.183S@Displaced fracture of trapezoid, unspecified wrist, sequela
S62.184A@Nondisp fx of trapezoid, right wrist, init for clos fx
S62.184B@Nondisp fx of trapezoid, right wrist, init for opn fx
S62.184D@Nondisp fx of trapezoid, r wrist, subs for fx w routn heal
S62.184G@Nondisp fx of trapezoid, r wrist, subs for fx w delay heal
S62.184K@Nondisp fx of trapezoid, right wrist, subs for fx w nonunion
S62.184P@Nondisp fx of trapezoid, right wrist, subs for fx w malunion
S62.184S@Nondisplaced fracture of trapezoid, right wrist, sequela
S62.185A@Nondisp fx of trapezoid, left wrist, init for clos fx
S62.185B@Nondisp fx of trapezoid, left wrist, init for opn fx
S62.185D@Nondisp fx of trapezoid, l wrist, subs for fx w routn heal
S62.185G@Nondisp fx of trapezoid, l wrist, subs for fx w delay heal
S62.185K@Nondisp fx of trapezoid, left wrist, subs for fx w nonunion
S62.185P@Nondisp fx of trapezoid, left wrist, subs for fx w malunion
S62.185S@Nondisplaced fracture of trapezoid, left wrist, sequela
S62.186A@Nondisp fx of trapezoid, unsp wrist, init for clos fx
S62.186B@Nondisp fx of trapezoid, unsp wrist, init for opn fx
S62.186D@Nondisp fx of trapezd, unsp wrist, subs for fx w routn heal
S62.186G@Nondisp fx of trapezd, unsp wrist, subs for fx w delay heal
S62.186K@Nondisp fx of trapezoid, unsp wrist, subs for fx w nonunion
S62.186P@Nondisp fx of trapezoid, unsp wrist, subs for fx w malunion
S62.186S@Nondisp fx of trapezoid, unspecified wrist, sequela
S62.201A@Unsp fracture of first metacarpal bone, right hand, init
S62.201B@Unsp fx first metacarpal bone, right hand, init for opn fx
S62.201D@Unsp fx first MC bone, right hand, subs for fx w routn heal
S62.201G@Unsp fx first MC bone, right hand, subs for fx w delay heal
S62.201K@Unsp fx first MC bone, right hand, subs for fx w nonunion
S62.201P@Unsp fx first MC bone, right hand, subs for fx w malunion
S62.201S@Unsp fracture of first metacarpal bone, right hand, sequela
S62.202A@Unsp fracture of first metacarpal bone, left hand, init
S62.202B@Unsp fx first metacarpal bone, left hand, init for opn fx
S62.202D@Unsp fx first MC bone, left hand, subs for fx w routn heal
S62.202G@Unsp fx first MC bone, left hand, subs for fx w delay heal
S62.202K@Unsp fx first MC bone, left hand, subs for fx w nonunion
S62.202P@Unsp fx first MC bone, left hand, subs for fx w malunion
S62.202S@Unsp fracture of first metacarpal bone, left hand, sequela
S62.209A@Unsp fracture of first metacarpal bone, unsp hand, init
S62.209B@Unsp fx first metacarpal bone, unsp hand, init for opn fx
S62.209D@Unsp fx first MC bone, unsp hand, subs for fx w routn heal
S62.209G@Unsp fx first MC bone, unsp hand, subs for fx w delay heal
S62.209K@Unsp fx first MC bone, unsp hand, subs for fx w nonunion
S62.209P@Unsp fx first MC bone, unsp hand, subs for fx w malunion
S62.209S@Unsp fracture of first metacarpal bone, unsp hand, sequela
S62.211A@Bennett's fracture, right hand, init for clos fx
S62.211B@Bennett's fracture, right hand, init for opn fx
S62.211D@Bennett's fracture, right hand, subs for fx w routn heal
S62.211G@Bennett's fracture, right hand, subs for fx w delay heal
S62.211K@Bennett's fracture, right hand, subs for fx w nonunion
S62.211P@Bennett's fracture, right hand, subs for fx w malunion
S62.211S@Bennett's fracture, right hand, sequela
S62.212A@Bennett's fracture, left hand, init for clos fx
S62.212B@Bennett's fracture, left hand, init encntr for open fracture
S62.212D@Bennett's fracture, left hand, subs for fx w routn heal
S62.212G@Bennett's fracture, left hand, subs for fx w delay heal
S62.212K@Bennett's fracture, left hand, subs for fx w nonunion
S62.212P@Bennett's fracture, left hand, subs for fx w malunion
S62.212S@Bennett's fracture, left hand, sequela
S62.213A@Bennett's fracture, unsp hand, init for clos fx
S62.213B@Bennett's fracture, unsp hand, init encntr for open fracture
S62.213D@Bennett's fracture, unsp hand, subs for fx w routn heal
S62.213G@Bennett's fracture, unsp hand, subs for fx w delay heal
S62.213K@Bennett's fracture, unsp hand, subs for fx w nonunion
S62.213P@Bennett's fracture, unsp hand, subs for fx w malunion
S62.213S@Bennett's fracture, unspecified hand, sequela
S62.221A@Displaced Rolando's fracture, right hand, init for clos fx
S62.221B@Displaced Rolando's fracture, right hand, init for opn fx
S62.221D@Displ Rolando's fracture, r hand, subs for fx w routn heal
S62.221G@Displ Rolando's fracture, r hand, subs for fx w delay heal
S62.221K@Displaced Rolando's fracture, r hand, subs for fx w nonunion
S62.221P@Displaced Rolando's fracture, r hand, subs for fx w malunion
S62.221S@Displaced Rolando's fracture, right hand, sequela
S62.222A@Displaced Rolando's fracture, left hand, init for clos fx
S62.222B@Displaced Rolando's fracture, left hand, init for opn fx
S62.222D@Displ Rolando's fracture, l hand, subs for fx w routn heal
S62.222G@Displ Rolando's fracture, l hand, subs for fx w delay heal
S62.222K@Displ Rolando's fracture, left hand, subs for fx w nonunion
S62.222P@Displ Rolando's fracture, left hand, subs for fx w malunion
S62.222S@Displaced Rolando's fracture, left hand, sequela
S62.223A@Displaced Rolando's fracture, unsp hand, init for clos fx
S62.223B@Displaced Rolando's fracture, unsp hand, init for opn fx
S62.223D@Displ Rolando's fx, unsp hand, subs for fx w routn heal
S62.223G@Displ Rolando's fx, unsp hand, subs for fx w delay heal
S62.223K@Displ Rolando's fracture, unsp hand, subs for fx w nonunion
S62.223P@Displ Rolando's fracture, unsp hand, subs for fx w malunion
S62.223S@Displaced Rolando's fracture, unspecified hand, sequela
S62.224A@Nondisplaced Rolando's fracture, right hand, init
S62.224B@Nondisplaced Rolando's fracture, right hand, init for opn fx
S62.224D@Nondisp Rolando's fracture, r hand, subs for fx w routn heal
S62.224G@Nondisp Rolando's fracture, r hand, subs for fx w delay heal
S62.224K@Nondisp Rolando's fracture, r hand, subs for fx w nonunion
S62.224P@Nondisp Rolando's fracture, r hand, subs for fx w malunion
S62.224S@Nondisplaced Rolando's fracture, right hand, sequela
S62.225A@Nondisplaced Rolando's fracture, left hand, init for clos fx
S62.225B@Nondisplaced Rolando's fracture, left hand, init for opn fx
S62.225D@Nondisp Rolando's fracture, l hand, subs for fx w routn heal
S62.225G@Nondisp Rolando's fracture, l hand, subs for fx w delay heal
S62.225K@Nondisp Rolando's fracture, l hand, subs for fx w nonunion
S62.225P@Nondisp Rolando's fracture, l hand, subs for fx w malunion
S62.225S@Nondisplaced Rolando's fracture, left hand, sequela
S62.226A@Nondisplaced Rolando's fracture, unsp hand, init for clos fx
S62.226B@Nondisplaced Rolando's fracture, unsp hand, init for opn fx
S62.226D@Nondisp Rolando's fx, unsp hand, subs for fx w routn heal
S62.226G@Nondisp Rolando's fx, unsp hand, subs for fx w delay heal
S62.226K@Nondisp Rolando's fx, unsp hand, subs for fx w nonunion
S62.226P@Nondisp Rolando's fx, unsp hand, subs for fx w malunion
S62.226S@Nondisplaced Rolando's fracture, unspecified hand, sequela
S62.231A@Oth disp fx of base of first MC bone, right hand, init
S62.231B@Oth disp fx of base of 1st MC bone, r hand, init for opn fx
S62.231D@Oth disp fx of base of 1st MC bone, r hand, 7thD
S62.231G@Oth disp fx of base of 1st MC bone, r hand, 7thG
S62.231K@Oth disp fx of base of 1st MC bone, r hand, 7thK
S62.231P@Oth disp fx of base of 1st MC bone, r hand, 7thP
S62.231S@Oth disp fx of base of first MC bone, right hand, sequela
S62.232A@Oth disp fx of base of first MC bone, left hand, init
S62.232B@Oth disp fx of base of 1st MC bone, l hand, init for opn fx
S62.232D@Oth disp fx of base of 1st MC bone, l hand, 7thD
S62.232G@Oth disp fx of base of 1st MC bone, l hand, 7thG
S62.232K@Oth disp fx of base of 1st MC bone, l hand, 7thK
S62.232P@Oth disp fx of base of 1st MC bone, l hand, 7thP
S62.232S@Oth disp fx of base of first MC bone, left hand, sequela
S62.233A@Oth disp fx of base of first MC bone, unsp hand, init
S62.233B@Oth disp fx of base of 1st MC bone, unsp hand, 7thB
S62.233D@Oth disp fx of base of 1st MC bone, unsp hand, 7thD
S62.233G@Oth disp fx of base of 1st MC bone, unsp hand, 7thG
S62.233K@Oth disp fx of base of 1st MC bone, unsp hand, 7thK
S62.233P@Oth disp fx of base of 1st MC bone, unsp hand, 7thP
S62.233S@Oth disp fx of base of first MC bone, unsp hand, sequela
S62.234A@Oth nondisp fx of base of first MC bone, right hand, init
S62.234B@Oth nondisp fx of base of 1st MC bone, r hand, 7thB
S62.234D@Oth nondisp fx of base of 1st MC bone, r hand, 7thD
S62.234G@Oth nondisp fx of base of 1st MC bone, r hand, 7thG
S62.234K@Oth nondisp fx of base of 1st MC bone, r hand, 7thK
S62.234P@Oth nondisp fx of base of 1st MC bone, r hand, 7thP
S62.234S@Oth nondisp fx of base of first MC bone, right hand, sequela
S62.235A@Oth nondisp fx of base of first MC bone, left hand, init
S62.235B@Oth nondisp fx of base of 1st MC bone, l hand, 7thB
S62.235D@Oth nondisp fx of base of 1st MC bone, l hand, 7thD
S62.235G@Oth nondisp fx of base of 1st MC bone, l hand, 7thG
S62.235K@Oth nondisp fx of base of 1st MC bone, l hand, 7thK
S62.235P@Oth nondisp fx of base of 1st MC bone, l hand, 7thP
S62.235S@Oth nondisp fx of base of first MC bone, left hand, sequela
S62.236A@Oth nondisp fx of base of first MC bone, unsp hand, init
S62.236B@Oth nondisp fx of base of 1st MC bone, unsp hand, 7thB
S62.236D@Oth nondisp fx of base of 1st MC bone, unsp hand, 7thD
S62.236G@Oth nondisp fx of base of 1st MC bone, unsp hand, 7thG
S62.236K@Oth nondisp fx of base of 1st MC bone, unsp hand, 7thK
S62.236P@Oth nondisp fx of base of 1st MC bone, unsp hand, 7thP
S62.236S@Oth nondisp fx of base of first MC bone, unsp hand, sequela
S62.241A@Disp fx of shaft of first metacarpal bone, right hand, init
S62.241B@Disp fx of shaft of first MC bone, r hand, init for opn fx
S62.241D@Disp fx of shaft of 1st MC bone, r hand, 7thD
S62.241G@Disp fx of shaft of 1st MC bone, r hand, 7thG
S62.241K@Disp fx of shaft of 1st MC bone, r hand, 7thK
S62.241P@Disp fx of shaft of 1st MC bone, r hand, 7thP
S62.241S@Disp fx of shaft of first MC bone, right hand, sequela
S62.242A@Disp fx of shaft of first metacarpal bone, left hand, init
