S40.011A@Contusion of right shoulder, initial encounter
S46.101D@Unsp injury of musc/fasc/tend long hd bicep, right arm, subs
S46.101S@Unsp inj musc/fasc/tend long hd bicep, right arm, sequela
S46.102A@Unsp injury of musc/fasc/tend long hd bicep, left arm, init
S46.102D@Unsp injury of musc/fasc/tend long hd bicep, left arm, subs
S46.102S@Unsp inj musc/fasc/tend long hd bicep, left arm, sequela
S46.109A@Unsp injury of musc/fasc/tend long hd bicep, unsp arm, init
S46.109D@Unsp injury of musc/fasc/tend long hd bicep, unsp arm, subs
S46.109S@Unsp inj musc/fasc/tend long hd bicep, unsp arm, sequela
S46.111A@Strain of musc/fasc/tend long hd bicep, right arm, init
S46.111D@Strain of musc/fasc/tend long hd bicep, right arm, subs
S46.111S@Strain of musc/fasc/tend long hd bicep, right arm, sequela
S46.112A@Strain of musc/fasc/tend long head of biceps, left arm, init
S46.112D@Strain of musc/fasc/tend long head of biceps, left arm, subs
S46.112S@Strain of musc/fasc/tend long hd bicep, left arm, sequela
S46.119A@Strain of musc/fasc/tend long head of biceps, unsp arm, init
S46.119D@Strain of musc/fasc/tend long head of biceps, unsp arm, subs
S46.119S@Strain of musc/fasc/tend long hd bicep, unsp arm, sequela
S46.121A@Laceration of musc/fasc/tend long hd bicep, right arm, init
S46.121D@Laceration of musc/fasc/tend long hd bicep, right arm, subs
S46.121S@Lacerat musc/fasc/tend long hd bicep, right arm, sequela
S46.122A@Laceration of musc/fasc/tend long hd bicep, left arm, init
S46.122D@Laceration of musc/fasc/tend long hd bicep, left arm, subs
S46.122S@Lacerat musc/fasc/tend long hd bicep, left arm, sequela
S46.129A@Laceration of musc/fasc/tend long hd bicep, unsp arm, init
S46.129D@Laceration of musc/fasc/tend long hd bicep, unsp arm, subs
S46.129S@Lacerat musc/fasc/tend long hd bicep, unsp arm, sequela
S46.191A@Inj musc/fasc/tend long head of biceps, right arm, init
S46.191D@Inj musc/fasc/tend long head of biceps, right arm, subs
S46.191S@Inj musc/fasc/tend long head of biceps, right arm, sequela
S46.192A@Inj musc/fasc/tend long head of biceps, left arm, init
S46.192D@Inj musc/fasc/tend long head of biceps, left arm, subs
S46.192S@Inj musc/fasc/tend long head of biceps, left arm, sequela
S46.199A@Inj musc/fasc/tend long head of biceps, unsp arm, init
S46.199D@Inj musc/fasc/tend long head of biceps, unsp arm, subs
S46.199S@Inj musc/fasc/tend long head of biceps, unsp arm, sequela
S46.201A@Unsp injury of musc/fasc/tend prt biceps, right arm, init
S46.201D@Unsp injury of musc/fasc/tend prt biceps, right arm, subs
S46.201S@Unsp injury of musc/fasc/tend prt biceps, right arm, sequela
S46.202A@Unsp injury of musc/fasc/tend prt biceps, left arm, init
S46.202D@Unsp injury of musc/fasc/tend prt biceps, left arm, subs
S46.202S@Unsp injury of musc/fasc/tend prt biceps, left arm, sequela
S46.209A@Unsp injury of musc/fasc/tend prt biceps, unsp arm, init
S46.209D@Unsp injury of musc/fasc/tend prt biceps, unsp arm, subs
S46.209S@Unsp injury of musc/fasc/tend prt biceps, unsp arm, sequela
S46.211A@Strain of musc/fasc/tend prt biceps, right arm, init
S46.211D@Strain of musc/fasc/tend prt biceps, right arm, subs
S46.211S@Strain of musc/fasc/tend prt biceps, right arm, sequela
S46.212A@Strain of musc/fasc/tend prt biceps, left arm, init
S46.212D@Strain of musc/fasc/tend prt biceps, left arm, subs
S46.212S@Strain of musc/fasc/tend prt biceps, left arm, sequela
S46.219A@Strain of musc/fasc/tend prt biceps, unsp arm, init
S46.219D@Strain of musc/fasc/tend prt biceps, unsp arm, subs
S46.219S@Strain of musc/fasc/tend prt biceps, unsp arm, sequela
S46.221A@Laceration of musc/fasc/tend prt biceps, right arm, init
S46.221D@Laceration of musc/fasc/tend prt biceps, right arm, subs
S46.221S@Laceration of musc/fasc/tend prt biceps, right arm, sequela
S46.222A@Laceration of musc/fasc/tend prt biceps, left arm, init
S46.222D@Laceration of musc/fasc/tend prt biceps, left arm, subs
S46.222S@Laceration of musc/fasc/tend prt biceps, left arm, sequela
S46.229A@Laceration of musc/fasc/tend prt biceps, unsp arm, init
S46.229D@Laceration of musc/fasc/tend prt biceps, unsp arm, subs
S46.229S@Laceration of musc/fasc/tend prt biceps, unsp arm, sequela
S46.291A@Inj muscle, fascia and tendon of prt biceps, right arm, init
S46.291D@Inj muscle, fascia and tendon of prt biceps, right arm, subs
S46.291S@Inj musc/fasc/tend prt biceps, right arm, sequela
S46.292A@Inj muscle, fascia and tendon of prt biceps, left arm, init
S46.292D@Inj muscle, fascia and tendon of prt biceps, left arm, subs
S46.292S@Inj musc/fasc/tend prt biceps, left arm, sequela
S46.299A@Inj muscle, fascia and tendon of prt biceps, unsp arm, init
S46.299D@Inj muscle, fascia and tendon of prt biceps, unsp arm, subs
S46.299S@Inj musc/fasc/tend prt biceps, unsp arm, sequela
S46.301A@Unsp injury of musc/fasc/tend triceps, right arm, init
S46.301D@Unsp injury of musc/fasc/tend triceps, right arm, subs
S46.301S@Unsp injury of musc/fasc/tend triceps, right arm, sequela
S46.302A@Unsp injury of musc/fasc/tend triceps, left arm, init
S46.302D@Unsp injury of musc/fasc/tend triceps, left arm, subs
S46.302S@Unsp injury of musc/fasc/tend triceps, left arm, sequela
S46.309A@Unsp injury of musc/fasc/tend triceps, unsp arm, init
S46.309D@Unsp injury of musc/fasc/tend triceps, unsp arm, subs
S46.309S@Unsp injury of musc/fasc/tend triceps, unsp arm, sequela
S46.311A@Strain of musc/fasc/tend triceps, right arm, init
S46.311D@Strain of musc/fasc/tend triceps, right arm, subs
S46.311S@Strain of musc/fasc/tend triceps, right arm, sequela
S46.312A@Strain of musc/fasc/tend triceps, left arm, init
S46.312D@Strain of musc/fasc/tend triceps, left arm, subs
S46.312S@Strain of musc/fasc/tend triceps, left arm, sequela
S46.319A@Strain of musc/fasc/tend triceps, unsp arm, init
S46.319D@Strain of musc/fasc/tend triceps, unsp arm, subs
S46.319S@Strain of musc/fasc/tend triceps, unsp arm, sequela
S46.321A@Laceration of musc/fasc/tend triceps, right arm, init
S46.321D@Laceration of musc/fasc/tend triceps, right arm, subs
S46.321S@Laceration of musc/fasc/tend triceps, right arm, sequela
S46.322A@Laceration of musc/fasc/tend triceps, left arm, init
S46.322D@Laceration of musc/fasc/tend triceps, left arm, subs
S46.322S@Laceration of musc/fasc/tend triceps, left arm, sequela
S46.329A@Laceration of musc/fasc/tend triceps, unsp arm, init
S46.329D@Laceration of musc/fasc/tend triceps, unsp arm, subs
S46.329S@Laceration of musc/fasc/tend triceps, unsp arm, sequela
S46.391A@Inj muscle, fascia and tendon of triceps, right arm, init
S46.391D@Inj muscle, fascia and tendon of triceps, right arm, subs
S46.391S@Inj muscle, fascia and tendon of triceps, right arm, sequela
S46.392A@Inj muscle, fascia and tendon of triceps, left arm, init
S46.392D@Inj muscle, fascia and tendon of triceps, left arm, subs
S46.392S@Inj muscle, fascia and tendon of triceps, left arm, sequela
S46.399A@Inj muscle, fascia and tendon of triceps, unsp arm, init
S46.399D@Inj muscle, fascia and tendon of triceps, unsp arm, subs
S46.399S@Inj muscle, fascia and tendon of triceps, unsp arm, sequela
S46.801A@Unsp inj musc/fasc/tend at shldr/up arm, right arm, init
S46.801D@Unsp inj musc/fasc/tend at shldr/up arm, right arm, subs
S46.801S@Unsp inj musc/fasc/tend at shldr/up arm, right arm, sequela
S46.802A@Unsp inj musc/fasc/tend at shldr/up arm, left arm, init
S46.802D@Unsp inj musc/fasc/tend at shldr/up arm, left arm, subs
S46.802S@Unsp inj musc/fasc/tend at shldr/up arm, left arm, sequela
S46.809A@Unsp inj musc/fasc/tend at shldr/up arm, unsp arm, init
S46.809D@Unsp inj musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.809S@Unsp inj musc/fasc/tend at shldr/up arm, unsp arm, sequela
S46.811A@Strain of musc/fasc/tend at shldr/up arm, right arm, init
S46.811D@Strain of musc/fasc/tend at shldr/up arm, right arm, subs
S46.811S@Strain of musc/fasc/tend at shldr/up arm, right arm, sequela
S46.812A@Strain of musc/fasc/tend at shldr/up arm, left arm, init
S46.812D@Strain of musc/fasc/tend at shldr/up arm, left arm, subs
S46.812S@Strain of musc/fasc/tend at shldr/up arm, left arm, sequela
S46.819A@Strain of musc/fasc/tend at shldr/up arm, unsp arm, init
S46.819D@Strain of musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.819S@Strain of musc/fasc/tend at shldr/up arm, unsp arm, sequela
S46.821A@Lacerat musc/fasc/tend at shldr/up arm, right arm, init
S46.821D@Lacerat musc/fasc/tend at shldr/up arm, right arm, subs
S46.821S@Lacerat musc/fasc/tend at shldr/up arm, right arm, sequela
S46.822A@Laceration of musc/fasc/tend at shldr/up arm, left arm, init
S46.822D@Laceration of musc/fasc/tend at shldr/up arm, left arm, subs
S46.822S@Lacerat musc/fasc/tend at shldr/up arm, left arm, sequela
S46.829A@Laceration of musc/fasc/tend at shldr/up arm, unsp arm, init
S46.829D@Laceration of musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.829S@Lacerat musc/fasc/tend at shldr/up arm, unsp arm, sequela
S46.891A@Inj musc/fasc/tend at shldr/up arm, right arm, init
S46.891D@Inj musc/fasc/tend at shldr/up arm, right arm, subs
S46.891S@Inj musc/fasc/tend at shldr/up arm, right arm, sequela
S46.892A@Inj musc/fasc/tend at shldr/up arm, left arm, init
S46.892D@Inj musc/fasc/tend at shldr/up arm, left arm, subs
S46.892S@Inj musc/fasc/tend at shldr/up arm, left arm, sequela
S46.899A@Inj musc/fasc/tend at shldr/up arm, unsp arm, init
S46.899D@Inj musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.899S@Inj musc/fasc/tend at shldr/up arm, unsp arm, sequela
S46.901A@Unsp inj unsp musc/fasc/tend at shldr/up arm, r arm, init
S46.901D@Unsp inj unsp musc/fasc/tend at shldr/up arm, r arm, subs
S46.901S@Unsp inj unsp musc/fasc/tend at shldr/up arm, r arm, sqla
S46.902A@Unsp inj unsp musc/fasc/tend at shldr/up arm, left arm, init
S46.902D@Unsp inj unsp musc/fasc/tend at shldr/up arm, left arm, subs
S46.902S@Unsp inj unsp musc/fasc/tend at shldr/up arm, left arm, sqla
S46.909A@Unsp inj unsp musc/fasc/tend at shldr/up arm, unsp arm, init
S46.909D@Unsp inj unsp musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.909S@Unsp inj unsp musc/fasc/tend at shldr/up arm, unsp arm, sqla
S46.911A@Strain unsp musc/fasc/tend at shldr/up arm, right arm, init
S46.911D@Strain unsp musc/fasc/tend at shldr/up arm, right arm, subs
S46.911S@Strain unsp musc/fasc/tend at shldr/up arm, right arm, sqla
S46.912A@Strain unsp musc/fasc/tend at shldr/up arm, left arm, init
S46.912D@Strain unsp musc/fasc/tend at shldr/up arm, left arm, subs
S46.912S@Strain unsp musc/fasc/tend at shldr/up arm, left arm, sqla
S46.919A@Strain unsp musc/fasc/tend at shldr/up arm, unsp arm, init
S46.919D@Strain unsp musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.919S@Strain unsp musc/fasc/tend at shldr/up arm, unsp arm, sqla
S46.921A@Lacerat unsp musc/fasc/tend at shldr/up arm, right arm, init
S46.921D@Lacerat unsp musc/fasc/tend at shldr/up arm, right arm, subs
S46.921S@Lacerat unsp musc/fasc/tend at shldr/up arm, right arm, sqla
S46.922A@Lacerat unsp musc/fasc/tend at shldr/up arm, left arm, init
S46.922D@Lacerat unsp musc/fasc/tend at shldr/up arm, left arm, subs
S46.922S@Lacerat unsp musc/fasc/tend at shldr/up arm, left arm, sqla
S46.929A@Lacerat unsp musc/fasc/tend at shldr/up arm, unsp arm, init
S46.929D@Lacerat unsp musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.929S@Lacerat unsp musc/fasc/tend at shldr/up arm, unsp arm, sqla
S46.991A@Inj unsp musc/fasc/tend at shldr/up arm, right arm, init
S46.991D@Inj unsp musc/fasc/tend at shldr/up arm, right arm, subs
S46.991S@Inj unsp musc/fasc/tend at shldr/up arm, right arm, sequela
S46.992A@Inj unsp musc/fasc/tend at shldr/up arm, left arm, init
S46.992D@Inj unsp musc/fasc/tend at shldr/up arm, left arm, subs
S46.992S@Inj unsp musc/fasc/tend at shldr/up arm, left arm, sequela
S46.999A@Inj unsp musc/fasc/tend at shldr/up arm, unsp arm, init
S46.999D@Inj unsp musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.999S@Inj unsp musc/fasc/tend at shldr/up arm, unsp arm, sequela
S47.1XXA@Crushing injury of right shoulder and upper arm, init encntr
S47.1XXD@Crushing injury of right shoulder and upper arm, subs encntr
S47.1XXS@Crushing injury of right shoulder and upper arm, sequela
S47.2XXA@Crushing injury of left shoulder and upper arm, init encntr
S47.2XXD@Crushing injury of left shoulder and upper arm, subs encntr
S47.2XXS@Crushing injury of left shoulder and upper arm, sequela
S47.9XXA@Crushing injury of shoulder and upper arm, unsp arm, init
S47.9XXD@Crushing injury of shoulder and upper arm, unsp arm, subs
S47.9XXS@Crushing injury of shoulder and upper arm, unsp arm, sequela
S48.011A@Complete traumatic amputation at right shoulder joint, init
S48.011D@Complete traumatic amputation at right shoulder joint, subs
S48.011S@Complete traumatic amputation at r shoulder jt, sequela
S48.012A@Complete traumatic amputation at left shoulder joint, init
S48.012D@Complete traumatic amputation at left shoulder joint, subs
S48.012S@Complete traumatic amputation at l shoulder jt, sequela
S48.019A@Complete traumatic amputation at unsp shoulder joint, init
S48.019D@Complete traumatic amputation at unsp shoulder joint, subs
S48.019S@Complete traumatic amputation at unsp shoulder jt, sequela
S48.021A@Partial traumatic amputation at right shoulder joint, init
S48.021D@Partial traumatic amputation at right shoulder joint, subs
S48.021S@Partial traumatic amputation at r shoulder jt, sequela
S48.022A@Partial traumatic amputation at left shoulder joint, init
S48.022D@Partial traumatic amputation at left shoulder joint, subs
S48.022S@Partial traumatic amputation at left shoulder joint, sequela
S48.029A@Partial traumatic amputation at unsp shoulder joint, init
S48.029D@Partial traumatic amputation at unsp shoulder joint, subs
S48.029S@Partial traumatic amputation at unsp shoulder joint, sequela
S48.111A@Complete traum amp at level betw r shoulder and elbow, init
S48.111D@Complete traum amp at level betw r shoulder and elbow, subs
S48.111S@Complete traum amp at level betw r shldr and elbow, sequela
S48.112A@Complete traum amp at level betw l shoulder and elbow, init
S48.112D@Complete traum amp at level betw l shoulder and elbow, subs
S48.112S@Complete traum amp at level betw l shldr and elbow, sequela
S48.119A@Complete traum amp at level betw unsp shldr and elbow, init
S48.119D@Complete traum amp at level betw unsp shldr and elbow, subs
S48.119S@Complete traum amp at level betw unsp shldr and elbow, sqla
S48.121A@Partial traum amp at level betw r shoulder and elbow, init
S48.121D@Partial traum amp at level betw r shoulder and elbow, subs
S48.121S@Partial traum amp at level betw r shldr and elbow, sequela
S48.122A@Partial traum amp at level betw l shoulder and elbow, init
S48.122D@Partial traum amp at level betw l shoulder and elbow, subs
S48.122S@Partial traum amp at level betw l shldr and elbow, sequela
S48.129A@Partial traum amp at level betw unsp shldr and elbow, init
S48.129D@Partial traum amp at level betw unsp shldr and elbow, subs
S48.129S@Part traum amp at level betw unsp shldr and elbow, sequela
S48.911A@Complete traum amp of right shldr/up arm, level unsp, init
S48.911D@Complete traum amp of right shldr/up arm, level unsp, subs
S48.911S@Complete traum amp of right shldr/up arm, level unsp, sqla
S48.912A@Complete traum amp of left shldr/up arm, level unsp, init
S48.912D@Complete traum amp of left shldr/up arm, level unsp, subs
S48.912S@Complete traum amp of left shldr/up arm, level unsp, sequela
S48.919A@Complete traum amp of unsp shldr/up arm, level unsp, init
S48.919D@Complete traum amp of unsp shldr/up arm, level unsp, subs
S48.919S@Complete traum amp of unsp shldr/up arm, level unsp, sequela
S48.921A@Partial traum amp of right shldr/up arm, level unsp, init
S48.921D@Partial traum amp of right shldr/up arm, level unsp, subs
S48.921S@Partial traum amp of right shldr/up arm, level unsp, sequela
S48.922A@Partial traumatic amp of left shldr/up arm, level unsp, init
S48.922D@Partial traumatic amp of left shldr/up arm, level unsp, subs
S48.922S@Partial traum amp of left shldr/up arm, level unsp, sequela
S48.929A@Partial traumatic amp of unsp shldr/up arm, level unsp, init
S48.929D@Partial traumatic amp of unsp shldr/up arm, level unsp, subs
S48.929S@Partial traum amp of unsp shldr/up arm, level unsp, sequela
S49.001A@Unsp physeal fx upper end of humerus, right arm, init
S49.001D@Unsp physl fx upr end humer, r arm, subs for fx w routn heal
S49.001G@Unsp physl fx upr end humer, r arm, subs for fx w delay heal
S49.001K@Unsp physl fx upper end humer, r arm, subs for fx w nonunion
S49.001P@Unsp physl fx upper end humer, r arm, subs for fx w malunion
S49.001S@Unsp physeal fx upper end of humerus, right arm, sequela
S49.002A@Unsp physeal fx upper end of humerus, left arm, init
S49.002D@Unsp physl fx upr end humer, l arm, subs for fx w routn heal
S49.002G@Unsp physl fx upr end humer, l arm, subs for fx w delay heal
S49.002K@Unsp physl fx upr end humer, l arm, subs for fx w nonunion
S49.002P@Unsp physl fx upr end humer, l arm, subs for fx w malunion
S49.002S@Unsp physeal fx upper end of humerus, left arm, sequela
S49.009A@Unsp physeal fx upper end of humerus, unsp arm, init
S49.009D@Unsp physl fx upr end humer, unsp arm, 7thD
S49.009G@Unsp physl fx upr end humer, unsp arm, 7thG
S49.009K@Unsp physl fx upr end humer, unsp arm, 7thK
S49.009P@Unsp physl fx upr end humer, unsp arm, 7thP
S49.009S@Unsp physeal fx upper end of humerus, unsp arm, sequela
S49.011A@Sltr-haris Type I physl fx upper end humer, right arm, init
S49.011D@Sltr-haris Type I physl fx upr end humer, r arm, 7thD
S49.011G@Sltr-haris Type I physl fx upr end humer, r arm, 7thG
S49.011K@Sltr-haris Type I physl fx upr end humer, r arm, 7thK
S49.011P@Sltr-haris Type I physl fx upr end humer, r arm, 7thP
S49.011S@Sltr-haris Type I physl fx upper end humer, right arm, sqla
S49.012A@Sltr-haris Type I physl fx upper end humer, left arm, init
S49.012D@Sltr-haris Type I physl fx upr end humer, l arm, 7thD
S49.012G@Sltr-haris Type I physl fx upr end humer, l arm, 7thG
S49.012K@Sltr-haris Type I physl fx upr end humer, l arm, 7thK
S49.012P@Sltr-haris Type I physl fx upr end humer, l arm, 7thP
S49.012S@Sltr-haris Type I physl fx upper end humer, left arm, sqla
S49.019A@Sltr-haris Type I physl fx upper end humer, unsp arm, init
S49.019D@Sltr-haris Type I physl fx upr end humer, unsp arm, 7thD
S49.019G@Sltr-haris Type I physl fx upr end humer, unsp arm, 7thG
S49.019K@Sltr-haris Type I physl fx upr end humer, unsp arm, 7thK
S49.019P@Sltr-haris Type I physl fx upr end humer, unsp arm, 7thP
S49.019S@Sltr-haris Type I physl fx upper end humer, unsp arm, sqla
S49.021A@Sltr-haris Type II physl fx upper end humer, right arm, init
S49.021D@Sltr-haris Type II physl fx upr end humer, r arm, 7thD
S49.021G@Sltr-haris Type II physl fx upr end humer, r arm, 7thG
S49.021K@Sltr-haris Type II physl fx upr end humer, r arm, 7thK
S49.021P@Sltr-haris Type II physl fx upr end humer, r arm, 7thP
S49.021S@Sltr-haris Type II physl fx upper end humer, right arm, sqla
S49.022A@Sltr-haris Type II physl fx upper end humer, left arm, init
S49.022D@Sltr-haris Type II physl fx upr end humer, l arm, 7thD
S49.022G@Sltr-haris Type II physl fx upr end humer, l arm, 7thG
S49.022K@Sltr-haris Type II physl fx upr end humer, l arm, 7thK
S49.022P@Sltr-haris Type II physl fx upr end humer, l arm, 7thP
S49.022S@Sltr-haris Type II physl fx upper end humer, left arm, sqla
S49.029A@Sltr-haris Type II physl fx upper end humer, unsp arm, init
S49.029D@Sltr-haris Type II physl fx upr end humer, unsp arm, 7thD
S49.029G@Sltr-haris Type II physl fx upr end humer, unsp arm, 7thG
S49.029K@Sltr-haris Type II physl fx upr end humer, unsp arm, 7thK
S49.029P@Sltr-haris Type II physl fx upr end humer, unsp arm, 7thP
S49.029S@Sltr-haris Type II physl fx upper end humer, unsp arm, sqla
S49.031A@Sltr-haris Type III physl fx upper end humer, r arm, init
S49.031D@Sltr-haris Type III physl fx upr end humer, r arm, 7thD
S49.031G@Sltr-haris Type III physl fx upr end humer, r arm, 7thG
S49.031K@Sltr-haris Type III physl fx upr end humer, r arm, 7thK
S49.031P@Sltr-haris Type III physl fx upr end humer, r arm, 7thP
S49.031S@Sltr-haris Type III physl fx upper end humer, r arm, sqla
S49.032A@Sltr-haris Type III physl fx upper end humer, left arm, init
S49.032D@Sltr-haris Type III physl fx upr end humer, l arm, 7thD
S49.032G@Sltr-haris Type III physl fx upr end humer, l arm, 7thG
S49.032K@Sltr-haris Type III physl fx upr end humer, l arm, 7thK
S49.032P@Sltr-haris Type III physl fx upr end humer, l arm, 7thP
S49.032S@Sltr-haris Type III physl fx upper end humer, left arm, sqla
S49.039A@Sltr-haris Type III physl fx upper end humer, unsp arm, init
S49.039D@Sltr-haris Type III physl fx upr end humer, unsp arm, 7thD
S49.039G@Sltr-haris Type III physl fx upr end humer, unsp arm, 7thG
S49.039K@Sltr-haris Type III physl fx upr end humer, unsp arm, 7thK
S49.039P@Sltr-haris Type III physl fx upr end humer, unsp arm, 7thP
S49.039S@Sltr-haris Type III physl fx upper end humer, unsp arm, sqla
S49.041A@Sltr-haris Type IV physl fx upper end humer, right arm, init
S49.041D@Sltr-haris Type IV physl fx upr end humer, r arm, 7thD
S49.041G@Sltr-haris Type IV physl fx upr end humer, r arm, 7thG
S49.041K@Sltr-haris Type IV physl fx upr end humer, r arm, 7thK
S49.041P@Sltr-haris Type IV physl fx upr end humer, r arm, 7thP
S49.041S@Sltr-haris Type IV physl fx upper end humer, right arm, sqla
S49.042A@Sltr-haris Type IV physl fx upper end humer, left arm, init
S49.042D@Sltr-haris Type IV physl fx upr end humer, l arm, 7thD
S49.042G@Sltr-haris Type IV physl fx upr end humer, l arm, 7thG
S49.042K@Sltr-haris Type IV physl fx upr end humer, l arm, 7thK
S49.042P@Sltr-haris Type IV physl fx upr end humer, l arm, 7thP
S49.042S@Sltr-haris Type IV physl fx upper end humer, left arm, sqla
S49.049A@Sltr-haris Type IV physl fx upper end humer, unsp arm, init
S49.049D@Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thD
S49.049G@Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thG
S49.049K@Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thK
S49.049P@Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thP
S49.049S@Sltr-haris Type IV physl fx upper end humer, unsp arm, sqla
S49.091A@Oth physeal fx upper end of humerus, right arm, init
S49.091D@Oth physl fx upr end humer, r arm, subs for fx w routn heal
S49.091G@Oth physl fx upr end humer, r arm, subs for fx w delay heal
S49.091K@Oth physl fx upper end humer, r arm, subs for fx w nonunion
S49.091P@Oth physl fx upper end humer, r arm, subs for fx w malunion
S49.091S@Oth physeal fx upper end of humerus, right arm, sequela
S49.092A@Oth physeal fracture of upper end of humerus, left arm, init
S49.092D@Oth physl fx upr end humer, l arm, subs for fx w routn heal
S49.092G@Oth physl fx upr end humer, l arm, subs for fx w delay heal
S49.092K@Oth physl fx upr end humer, left arm, subs for fx w nonunion
S49.092P@Oth physl fx upr end humer, left arm, subs for fx w malunion
S49.092S@Oth physeal fx upper end of humerus, left arm, sequela
S49.099A@Oth physeal fracture of upper end of humerus, unsp arm, init
S49.099D@Oth physl fx upr end humer, unsp arm, 7thD
S49.099G@Oth physl fx upr end humer, unsp arm, 7thG
S49.099K@Oth physl fx upr end humer, unsp arm, subs for fx w nonunion
S49.099P@Oth physl fx upr end humer, unsp arm, subs for fx w malunion
S49.099S@Oth physeal fx upper end of humerus, unsp arm, sequela
S49.101A@Unsp physeal fx lower end of humerus, right arm, init
S49.101D@Unsp physl fx low end humer, r arm, subs for fx w routn heal
S49.101G@Unsp physl fx low end humer, r arm, subs for fx w delay heal
S49.101K@Unsp physl fx low end humer, r arm, subs for fx w nonunion
S49.101P@Unsp physl fx low end humer, r arm, subs for fx w malunion
S49.101S@Unsp physeal fx lower end of humerus, right arm, sequela
S49.102A@Unsp physeal fx lower end of humerus, left arm, init
S49.102D@Unsp physl fx low end humer, l arm, subs for fx w routn heal
S49.102G@Unsp physl fx low end humer, l arm, subs for fx w delay heal
S49.102K@Unsp physl fx low end humer, l arm, subs for fx w nonunion
S49.102P@Unsp physl fx low end humer, l arm, subs for fx w malunion
S49.102S@Unsp physeal fx lower end of humerus, left arm, sequela
S49.109A@Unsp physeal fx lower end of humerus, unsp arm, init
S49.109D@Unsp physl fx low end humer, unsp arm, 7thD
S49.109G@Unsp physl fx low end humer, unsp arm, 7thG
S49.109K@Unsp physl fx low end humer, unsp arm, 7thK
S49.109P@Unsp physl fx low end humer, unsp arm, 7thP
S49.109S@Unsp physeal fx lower end of humerus, unsp arm, sequela
S49.111A@Sltr-haris Type I physl fx lower end humer, right arm, init
S49.111D@Sltr-haris Type I physl fx low end humer, r arm, 7thD
S49.111G@Sltr-haris Type I physl fx low end humer, r arm, 7thG
S49.111K@Sltr-haris Type I physl fx low end humer, r arm, 7thK
S49.111P@Sltr-haris Type I physl fx low end humer, r arm, 7thP
S49.111S@Sltr-haris Type I physl fx lower end humer, right arm, sqla
S49.112A@Sltr-haris Type I physl fx lower end humer, left arm, init
S49.112D@Sltr-haris Type I physl fx low end humer, l arm, 7thD
S49.112G@Sltr-haris Type I physl fx low end humer, l arm, 7thG
S49.112K@Sltr-haris Type I physl fx low end humer, l arm, 7thK
S49.112P@Sltr-haris Type I physl fx low end humer, l arm, 7thP
S49.112S@Sltr-haris Type I physl fx lower end humer, left arm, sqla
S49.119A@Sltr-haris Type I physl fx lower end humer, unsp arm, init
S49.119D@Sltr-haris Type I physl fx low end humer, unsp arm, 7thD
S49.119G@Sltr-haris Type I physl fx low end humer, unsp arm, 7thG
S49.119K@Sltr-haris Type I physl fx low end humer, unsp arm, 7thK
S49.119P@Sltr-haris Type I physl fx low end humer, unsp arm, 7thP
S49.119S@Sltr-haris Type I physl fx lower end humer, unsp arm, sqla
S49.121A@Sltr-haris Type II physl fx lower end humer, right arm, init
S49.121D@Sltr-haris Type II physl fx low end humer, r arm, 7thD
S49.121G@Sltr-haris Type II physl fx low end humer, r arm, 7thG
S49.121K@Sltr-haris Type II physl fx low end humer, r arm, 7thK
S49.121P@Sltr-haris Type II physl fx low end humer, r arm, 7thP
S49.121S@Sltr-haris Type II physl fx lower end humer, right arm, sqla
S49.122A@Sltr-haris Type II physl fx lower end humer, left arm, init
S49.122D@Sltr-haris Type II physl fx low end humer, l arm, 7thD
S49.122G@Sltr-haris Type II physl fx low end humer, l arm, 7thG
S49.122K@Sltr-haris Type II physl fx low end humer, l arm, 7thK
S49.122P@Sltr-haris Type II physl fx low end humer, l arm, 7thP
S49.122S@Sltr-haris Type II physl fx lower end humer, left arm, sqla
S49.129A@Sltr-haris Type II physl fx lower end humer, unsp arm, init
S49.129D@Sltr-haris Type II physl fx low end humer, unsp arm, 7thD
S49.129G@Sltr-haris Type II physl fx low end humer, unsp arm, 7thG
S49.129K@Sltr-haris Type II physl fx low end humer, unsp arm, 7thK
S49.129P@Sltr-haris Type II physl fx low end humer, unsp arm, 7thP
S49.129S@Sltr-haris Type II physl fx lower end humer, unsp arm, sqla
S49.131A@Sltr-haris Type III physl fx low end humer, right arm, init
S49.131D@Sltr-haris Type III physl fx low end humer, r arm, 7thD
S49.131G@Sltr-haris Type III physl fx low end humer, r arm, 7thG
S49.131K@Sltr-haris Type III physl fx low end humer, r arm, 7thK
S49.131P@Sltr-haris Type III physl fx low end humer, r arm, 7thP
S49.131S@Sltr-haris Type III physl fx low end humer, right arm, sqla
S49.132A@Sltr-haris Type III physl fx lower end humer, left arm, init
