S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S92.156A@Nondisp avuls fracture (chip fracture) of unsp talus, init
S92.156B@Nondisp avuls fx (chip fracture) of unsp talus, 7thB
S92.156D@Nondisp avuls fx (chip fracture) of unsp talus, 7thD
S92.156G@Nondisp avuls fx (chip fracture) of unsp talus, 7thG
S92.156K@Nondisp avuls fx (chip fracture) of unsp talus, 7thK
S92.156P@Nondisp avuls fx (chip fracture) of unsp talus, 7thP
S92.156S@Nondisp avuls fx (chip fracture) of unsp talus, sequela
S92.191A@Oth fracture of right talus, init encntr for closed fracture
S92.191B@Other fracture of right talus, init encntr for open fracture
S92.191D@Oth fracture of right talus, subs for fx w routn heal
S92.191G@Oth fracture of right talus, subs for fx w delay heal
S92.191K@Oth fracture of right talus, subs for fx w nonunion
S92.191P@Oth fracture of right talus, subs for fx w malunion
S92.191S@Other fracture of right talus, sequela
S92.192A@Oth fracture of left talus, init encntr for closed fracture
S92.192B@Other fracture of left talus, init encntr for open fracture
S92.192D@Oth fracture of left talus, subs for fx w routn heal
S92.192G@Oth fracture of left talus, subs for fx w delay heal
S92.192K@Oth fracture of left talus, subs for fx w nonunion
S92.192P@Oth fracture of left talus, subs for fx w malunion
S92.192S@Other fracture of left talus, sequela
S92.199A@Oth fracture of unsp talus, init encntr for closed fracture
S92.199B@Other fracture of unsp talus, init encntr for open fracture
S92.199D@Oth fracture of unsp talus, subs for fx w routn heal
S92.199G@Oth fracture of unsp talus, subs for fx w delay heal
S92.199K@Oth fracture of unsp talus, subs for fx w nonunion
S92.199P@Oth fracture of unsp talus, subs for fx w malunion
S92.199S@Other fracture of unspecified talus, sequela
S92.201A@Fracture of unsp tarsal bone(s) of right foot, init
S92.201B@Fx unsp tarsal bone(s) of right foot, init for opn fx
S92.201D@Fx unsp tarsal bone(s) of r foot, subs for fx w routn heal
S92.201G@Fx unsp tarsal bone(s) of r foot, subs for fx w delay heal
S92.201K@Fx unsp tarsal bone(s) of right foot, subs for fx w nonunion
S92.201P@Fx unsp tarsal bone(s) of right foot, subs for fx w malunion
S92.201S@Fracture of unsp tarsal bone(s) of right foot, sequela
S92.202A@Fracture of unsp tarsal bone(s) of left foot, init
S92.202B@Fx unsp tarsal bone(s) of left foot, init for opn fx
S92.202D@Fx unsp tarsal bone(s) of l foot, subs for fx w routn heal
S92.202G@Fx unsp tarsal bone(s) of l foot, subs for fx w delay heal
S92.202K@Fx unsp tarsal bone(s) of left foot, subs for fx w nonunion
S92.202P@Fx unsp tarsal bone(s) of left foot, subs for fx w malunion
S92.202S@Fracture of unspecified tarsal bone(s) of left foot, sequela
S92.209A@Fracture of unsp tarsal bone(s) of unsp foot, init
S92.209B@Fx unsp tarsal bone(s) of unsp foot, init for opn fx
S92.209D@Fx unsp tarsal bone(s) of unsp ft, subs for fx w routn heal
S92.209G@Fx unsp tarsal bone(s) of unsp ft, subs for fx w delay heal
S92.209K@Fx unsp tarsal bone(s) of unsp foot, subs for fx w nonunion
S92.209P@Fx unsp tarsal bone(s) of unsp foot, subs for fx w malunion
S92.209S@Fracture of unsp tarsal bone(s) of unspecified foot, sequela
S92.211A@Disp fx of cuboid bone of right foot, init for clos fx
S92.211B@Disp fx of cuboid bone of right foot, init for opn fx
S92.211D@Disp fx of cuboid bone of r foot, subs for fx w routn heal
S92.211G@Disp fx of cuboid bone of r foot, subs for fx w delay heal
S92.211K@Disp fx of cuboid bone of right foot, subs for fx w nonunion
S92.211P@Disp fx of cuboid bone of right foot, subs for fx w malunion
S92.211S@Displaced fracture of cuboid bone of right foot, sequela
S92.212A@Disp fx of cuboid bone of left foot, init for clos fx
S92.212B@Disp fx of cuboid bone of left foot, init for opn fx
S92.212D@Disp fx of cuboid bone of l foot, subs for fx w routn heal
S92.212G@Disp fx of cuboid bone of l foot, subs for fx w delay heal
S92.212K@Disp fx of cuboid bone of left foot, subs for fx w nonunion
S92.212P@Disp fx of cuboid bone of left foot, subs for fx w malunion
S92.212S@Displaced fracture of cuboid bone of left foot, sequela
S92.213A@Disp fx of cuboid bone of unsp foot, init for clos fx
S92.213B@Disp fx of cuboid bone of unsp foot, init for opn fx
S92.213D@Disp fx of cuboid bone of unsp ft, subs for fx w routn heal
S92.213G@Disp fx of cuboid bone of unsp ft, subs for fx w delay heal
S92.213K@Disp fx of cuboid bone of unsp foot, subs for fx w nonunion
S92.213P@Disp fx of cuboid bone of unsp foot, subs for fx w malunion
S92.213S@Disp fx of cuboid bone of unspecified foot, sequela
S92.214A@Nondisp fx of cuboid bone of right foot, init for clos fx
S92.214B@Nondisp fx of cuboid bone of right foot, init for opn fx
S92.214D@Nondisp fx of cuboid bone of r ft, subs for fx w routn heal
S92.214G@Nondisp fx of cuboid bone of r ft, subs for fx w delay heal
S92.214K@Nondisp fx of cuboid bone of r foot, subs for fx w nonunion
S92.214P@Nondisp fx of cuboid bone of r foot, subs for fx w malunion
S92.214S@Nondisplaced fracture of cuboid bone of right foot, sequela
S92.215A@Nondisp fx of cuboid bone of left foot, init for clos fx
S92.215B@Nondisp fx of cuboid bone of left foot, init for opn fx
S92.215D@Nondisp fx of cuboid bone of l ft, subs for fx w routn heal
S92.215G@Nondisp fx of cuboid bone of l ft, subs for fx w delay heal
S92.215K@Nondisp fx of cuboid bone of l foot, subs for fx w nonunion
S92.215P@Nondisp fx of cuboid bone of l foot, subs for fx w malunion
S92.215S@Nondisplaced fracture of cuboid bone of left foot, sequela
S92.216A@Nondisp fx of cuboid bone of unsp foot, init for clos fx
S92.216B@Nondisp fx of cuboid bone of unsp foot, init for opn fx
S92.216D@Nondisp fx of cuboid bone of unsp ft, 7thD
S92.216G@Nondisp fx of cuboid bone of unsp ft, 7thG
S92.216K@Nondisp fx of cuboid bone of unsp ft, subs for fx w nonunion
S92.216P@Nondisp fx of cuboid bone of unsp ft, subs for fx w malunion
S92.216S@Nondisp fx of cuboid bone of unspecified foot, sequela
S92.221A@Disp fx of lateral cuneiform of right foot, init for clos fx
S92.221B@Disp fx of lateral cuneiform of right foot, init for opn fx
S92.221D@Disp fx of lateral cuneiform of r ft, 7thD
S92.221G@Disp fx of lateral cuneiform of r ft, 7thG
S92.221K@Disp fx of lateral cuneiform of r ft, subs for fx w nonunion
S92.221P@Disp fx of lateral cuneiform of r ft, subs for fx w malunion
S92.221S@Disp fx of lateral cuneiform of right foot, sequela
S92.222A@Disp fx of lateral cuneiform of left foot, init for clos fx
S92.222B@Disp fx of lateral cuneiform of left foot, init for opn fx
S92.222D@Disp fx of lateral cuneiform of l ft, 7thD
S92.222G@Disp fx of lateral cuneiform of l ft, 7thG
S92.222K@Disp fx of lateral cuneiform of l ft, subs for fx w nonunion
S92.222P@Disp fx of lateral cuneiform of l ft, subs for fx w malunion
S92.222S@Disp fx of lateral cuneiform of left foot, sequela
S92.223A@Disp fx of lateral cuneiform of unsp foot, init for clos fx
S92.223B@Disp fx of lateral cuneiform of unsp foot, init for opn fx
S92.223D@Disp fx of lateral cuneiform of unsp ft, 7thD
S92.223G@Disp fx of lateral cuneiform of unsp ft, 7thG
S92.223K@Disp fx of lateral cuneiform of unsp ft, 7thK
S92.223P@Disp fx of lateral cuneiform of unsp ft, 7thP
S92.223S@Disp fx of lateral cuneiform of unspecified foot, sequela
S92.224A@Nondisp fx of lateral cuneiform of right foot, init
S92.224B@Nondisp fx of lateral cuneiform of r foot, init for opn fx
S92.224D@Nondisp fx of lateral cuneiform of r ft, 7thD
S92.224G@Nondisp fx of lateral cuneiform of r ft, 7thG
S92.224K@Nondisp fx of lateral cuneiform of r ft, 7thK
S92.224P@Nondisp fx of lateral cuneiform of r ft, 7thP
S92.224S@Nondisp fx of lateral cuneiform of right foot, sequela
S92.225A@Nondisp fx of lateral cuneiform of left foot, init
S92.225B@Nondisp fx of lateral cuneiform of l foot, init for opn fx
S92.225D@Nondisp fx of lateral cuneiform of l ft, 7thD
S92.225G@Nondisp fx of lateral cuneiform of l ft, 7thG
S92.225K@Nondisp fx of lateral cuneiform of l ft, 7thK
S92.225P@Nondisp fx of lateral cuneiform of l ft, 7thP
S92.225S@Nondisp fx of lateral cuneiform of left foot, sequela
S92.226A@Nondisp fx of lateral cuneiform of unsp foot, init
S92.226B@Nondisp fx of lateral cuneiform of unsp ft, init for opn fx
S92.226D@Nondisp fx of lateral cuneiform of unsp ft, 7thD
S92.226G@Nondisp fx of lateral cuneiform of unsp ft, 7thG
S92.226K@Nondisp fx of lateral cuneiform of unsp ft, 7thK
S92.226P@Nondisp fx of lateral cuneiform of unsp ft, 7thP
S92.226S@Nondisp fx of lateral cuneiform of unspecified foot, sequela
S92.231A@Disp fx of intermediate cuneiform of right foot, init
S92.231B@Disp fx of intermed cuneiform of right foot, init for opn fx
S92.231D@Disp fx of intermed cuneiform of r ft, 7thD
S92.231G@Disp fx of intermed cuneiform of r ft, 7thG
S92.231K@Disp fx of intermed cuneiform of r ft, 7thK
S92.231P@Disp fx of intermed cuneiform of r ft, 7thP
S92.231S@Disp fx of intermediate cuneiform of right foot, sequela
S92.232A@Disp fx of intermediate cuneiform of left foot, init
S92.232B@Disp fx of intermed cuneiform of left foot, init for opn fx
S92.232D@Disp fx of intermed cuneiform of l ft, 7thD
S92.232G@Disp fx of intermed cuneiform of l ft, 7thG
S92.232K@Disp fx of intermed cuneiform of l ft, 7thK
S92.232P@Disp fx of intermed cuneiform of l ft, 7thP
S92.232S@Disp fx of intermediate cuneiform of left foot, sequela
S92.233A@Disp fx of intermediate cuneiform of unsp foot, init
S92.233B@Disp fx of intermed cuneiform of unsp foot, init for opn fx
S92.233D@Disp fx of intermed cuneiform of unsp ft, 7thD
S92.233G@Disp fx of intermed cuneiform of unsp ft, 7thG
S92.233K@Disp fx of intermed cuneiform of unsp ft, 7thK
S92.233P@Disp fx of intermed cuneiform of unsp ft, 7thP
S92.233S@Disp fx of intermediate cuneiform of unsp foot, sequela
S92.234A@Nondisp fx of intermediate cuneiform of right foot, init
S92.234B@Nondisp fx of intermed cuneiform of r foot, init for opn fx
S92.234D@Nondisp fx of intermed cuneiform of r ft, 7thD
S92.234G@Nondisp fx of intermed cuneiform of r ft, 7thG
S92.234K@Nondisp fx of intermed cuneiform of r ft, 7thK
S92.234P@Nondisp fx of intermed cuneiform of r ft, 7thP
S92.234S@Nondisp fx of intermediate cuneiform of right foot, sequela
S92.235A@Nondisp fx of intermediate cuneiform of left foot, init
S92.235B@Nondisp fx of intermed cuneiform of l foot, init for opn fx
S92.235D@Nondisp fx of intermed cuneiform of l ft, 7thD
S92.235G@Nondisp fx of intermed cuneiform of l ft, 7thG
S92.235K@Nondisp fx of intermed cuneiform of l ft, 7thK
S92.235P@Nondisp fx of intermed cuneiform of l ft, 7thP
S92.235S@Nondisp fx of intermediate cuneiform of left foot, sequela
S92.236A@Nondisp fx of intermediate cuneiform of unsp foot, init
S92.236B@Nondisp fx of intermed cuneiform of unsp ft, init for opn fx
S92.236D@Nondisp fx of intermed cuneiform of unsp ft, 7thD
S92.236G@Nondisp fx of intermed cuneiform of unsp ft, 7thG
S92.236K@Nondisp fx of intermed cuneiform of unsp ft, 7thK
S92.236P@Nondisp fx of intermed cuneiform of unsp ft, 7thP
S92.236S@Nondisp fx of intermediate cuneiform of unsp foot, sequela
S92.241A@Disp fx of medial cuneiform of right foot, init for clos fx
S92.241B@Disp fx of medial cuneiform of right foot, init for opn fx
S92.241D@Disp fx of med cuneiform of r foot, subs for fx w routn heal
S92.241G@Disp fx of med cuneiform of r foot, subs for fx w delay heal
S92.241K@Disp fx of med cuneiform of r foot, subs for fx w nonunion
S92.241P@Disp fx of med cuneiform of r foot, subs for fx w malunion
S92.241S@Disp fx of medial cuneiform of right foot, sequela
S92.242A@Disp fx of medial cuneiform of left foot, init for clos fx
S92.242B@Disp fx of medial cuneiform of left foot, init for opn fx
S92.242D@Disp fx of med cuneiform of l foot, subs for fx w routn heal
S92.242G@Disp fx of med cuneiform of l foot, subs for fx w delay heal
S92.242K@Disp fx of med cuneiform of l foot, subs for fx w nonunion
S92.242P@Disp fx of med cuneiform of l foot, subs for fx w malunion
S92.242S@Displaced fracture of medial cuneiform of left foot, sequela
S92.243A@Disp fx of medial cuneiform of unsp foot, init for clos fx
S92.243B@Disp fx of medial cuneiform of unsp foot, init for opn fx
S92.243D@Disp fx of med cuneiform of unsp ft, 7thD
S92.243G@Disp fx of med cuneiform of unsp ft, 7thG
S92.243K@Disp fx of med cuneiform of unsp ft, subs for fx w nonunion
S92.243P@Disp fx of med cuneiform of unsp ft, subs for fx w malunion
S92.243S@Disp fx of medial cuneiform of unspecified foot, sequela
S92.244A@Nondisp fx of medial cuneiform of right foot, init
S92.244B@Nondisp fx of medial cuneiform of r foot, init for opn fx
S92.244D@Nondisp fx of med cuneiform of r ft, 7thD
S92.244G@Nondisp fx of med cuneiform of r ft, 7thG
S92.244K@Nondisp fx of med cuneiform of r ft, subs for fx w nonunion
S92.244P@Nondisp fx of med cuneiform of r ft, subs for fx w malunion
S92.244S@Nondisp fx of medial cuneiform of right foot, sequela
S92.245A@Nondisp fx of medial cuneiform of left foot, init
S92.245B@Nondisp fx of medial cuneiform of left foot, init for opn fx
S92.245D@Nondisp fx of med cuneiform of l ft, 7thD
S92.245G@Nondisp fx of med cuneiform of l ft, 7thG
S92.245K@Nondisp fx of med cuneiform of l ft, subs for fx w nonunion
S92.245P@Nondisp fx of med cuneiform of l ft, subs for fx w malunion
S92.245S@Nondisp fx of medial cuneiform of left foot, sequela
S92.246A@Nondisp fx of medial cuneiform of unsp foot, init
S92.246B@Nondisp fx of medial cuneiform of unsp foot, init for opn fx
S92.246D@Nondisp fx of med cuneiform of unsp ft, 7thD
S92.246G@Nondisp fx of med cuneiform of unsp ft, 7thG
S92.246K@Nondisp fx of med cuneiform of unsp ft, 7thK
S92.246P@Nondisp fx of med cuneiform of unsp ft, 7thP
S92.246S@Nondisp fx of medial cuneiform of unspecified foot, sequela
S92.251A@Disp fx of navicular of right foot, init for clos fx
S92.251B@Disp fx of navicular of right foot, init for opn fx
S92.251D@Disp fx of navicular of right foot, subs for fx w routn heal
S92.251G@Disp fx of navicular of right foot, subs for fx w delay heal
S92.251K@Disp fx of navicular of right foot, subs for fx w nonunion
S92.251P@Disp fx of navicular of right foot, subs for fx w malunion
S92.251S@Displaced fracture of navicular of right foot, sequela
S92.252A@Disp fx of navicular of left foot, init for clos fx
S92.252B@Disp fx of navicular of left foot, init for opn fx
S92.252D@Disp fx of navicular of left foot, subs for fx w routn heal
S92.252G@Disp fx of navicular of left foot, subs for fx w delay heal
S92.252K@Disp fx of navicular of left foot, subs for fx w nonunion
S92.252P@Disp fx of navicular of left foot, subs for fx w malunion
S92.252S@Displaced fracture of navicular of left foot, sequela
S92.253A@Disp fx of navicular of unsp foot, init for clos fx
S92.253B@Disp fx of navicular of unsp foot, init for opn fx
S92.253D@Disp fx of navicular of unsp foot, subs for fx w routn heal
S92.253G@Disp fx of navicular of unsp foot, subs for fx w delay heal
S92.253K@Disp fx of navicular of unsp foot, subs for fx w nonunion
S92.253P@Disp fx of navicular of unsp foot, subs for fx w malunion
S92.253S@Displaced fracture of navicular of unspecified foot, sequela
S92.254A@Nondisp fx of navicular of right foot, init for clos fx
S92.254B@Nondisp fx of navicular of right foot, init for opn fx
S92.254D@Nondisp fx of navicular of r foot, subs for fx w routn heal
S92.254G@Nondisp fx of navicular of r foot, subs for fx w delay heal
S92.254K@Nondisp fx of navicular of r foot, subs for fx w nonunion
S92.254P@Nondisp fx of navicular of r foot, subs for fx w malunion
S92.254S@Nondisplaced fracture of navicular of right foot, sequela
S92.255A@Nondisp fx of navicular of left foot, init for clos fx
S92.255B@Nondisp fx of navicular of left foot, init for opn fx
S92.255D@Nondisp fx of navicular of l foot, subs for fx w routn heal
S92.255G@Nondisp fx of navicular of l foot, subs for fx w delay heal
S92.255K@Nondisp fx of navicular of left foot, subs for fx w nonunion
S92.255P@Nondisp fx of navicular of left foot, subs for fx w malunion
S92.255S@Nondisplaced fracture of navicular of left foot, sequela
S92.256A@Nondisp fx of navicular of unsp foot, init for clos fx
S92.256B@Nondisp fx of navicular of unsp foot, init for opn fx
S92.256D@Nondisp fx of navic of unsp foot, subs for fx w routn heal
S92.256G@Nondisp fx of navic of unsp foot, subs for fx w delay heal
S92.256K@Nondisp fx of navicular of unsp foot, subs for fx w nonunion
S92.256P@Nondisp fx of navicular of unsp foot, subs for fx w malunion
S92.256S@Nondisp fx of navicular of unspecified foot, sequela
S92.301A@Fracture of unsp metatarsal bone(s), right foot, init
S92.301B@Fx unsp metatarsal bone(s), right foot, init for opn fx
S92.301D@Fx unsp metatarsal bone(s), r foot, subs for fx w routn heal
S92.301G@Fx unsp metatarsal bone(s), r foot, subs for fx w delay heal
S92.301K@Fx unsp metatarsal bone(s), r foot, subs for fx w nonunion
S92.301P@Fx unsp metatarsal bone(s), r foot, subs for fx w malunion
S92.301S@Fracture of unsp metatarsal bone(s), right foot, sequela
S92.302A@Fracture of unsp metatarsal bone(s), left foot, init
S92.302B@Fx unsp metatarsal bone(s), left foot, init for opn fx
S92.302D@Fx unsp metatarsal bone(s), l foot, subs for fx w routn heal
S92.302G@Fx unsp metatarsal bone(s), l foot, subs for fx w delay heal
S92.302K@Fx unsp metatarsal bone(s), l foot, subs for fx w nonunion
S92.302P@Fx unsp metatarsal bone(s), l foot, subs for fx w malunion
S92.302S@Fracture of unsp metatarsal bone(s), left foot, sequela
S92.309A@Fracture of unsp metatarsal bone(s), unsp foot, init
S92.309B@Fx unsp metatarsal bone(s), unsp foot, init for opn fx
S92.309D@Fx unsp metatarsal bone(s), unsp ft, 7thD
S92.309G@Fx unsp metatarsal bone(s), unsp ft, 7thG
S92.309K@Fx unsp metatarsal bone(s), unsp ft, subs for fx w nonunion
S92.309P@Fx unsp metatarsal bone(s), unsp ft, subs for fx w malunion
S92.309S@Fracture of unsp metatarsal bone(s), unsp foot, sequela
S92.311A@Disp fx of first metatarsal bone, right foot, init
S92.311B@Disp fx of first metatarsal bone, r foot, init for opn fx
S92.311D@Disp fx of 1st metatarsal bone, r ft, 7thD
S92.311G@Disp fx of 1st metatarsal bone, r ft, 7thG
S92.311K@Disp fx of 1st metatarsal bone, r ft, subs for fx w nonunion
S92.311P@Disp fx of 1st metatarsal bone, r ft, subs for fx w malunion
S92.311S@Disp fx of first metatarsal bone, right foot, sequela
S92.312A@Disp fx of first metatarsal bone, left foot, init
S92.312B@Disp fx of first metatarsal bone, left foot, init for opn fx
S92.312D@Disp fx of 1st metatarsal bone, l ft, 7thD
S92.312G@Disp fx of 1st metatarsal bone, l ft, 7thG
S92.312K@Disp fx of 1st metatarsal bone, l ft, subs for fx w nonunion
S92.312P@Disp fx of 1st metatarsal bone, l ft, subs for fx w malunion
S92.312S@Disp fx of first metatarsal bone, left foot, sequela
S92.313A@Disp fx of first metatarsal bone, unsp foot, init
S92.313B@Disp fx of first metatarsal bone, unsp foot, init for opn fx
S92.313D@Disp fx of 1st metatarsal bone, unsp ft, 7thD
S92.313G@Disp fx of 1st metatarsal bone, unsp ft, 7thG
S92.313K@Disp fx of 1st metatarsal bone, unsp ft, 7thK
S92.313P@Disp fx of 1st metatarsal bone, unsp ft, 7thP
S92.313S@Disp fx of first metatarsal bone, unspecified foot, sequela
S92.314A@Nondisp fx of first metatarsal bone, right foot, init
S92.314B@Nondisp fx of first metatarsal bone, r foot, init for opn fx
S92.314D@Nondisp fx of 1st metatarsal bone, r ft, 7thD
S92.314G@Nondisp fx of 1st metatarsal bone, r ft, 7thG
S92.314K@Nondisp fx of 1st metatarsal bone, r ft, 7thK
S92.314P@Nondisp fx of 1st metatarsal bone, r ft, 7thP
S92.314S@Nondisp fx of first metatarsal bone, right foot, sequela
