S00.00XA@Unspecified superficial injury of scalp, initial encounter
S49.002G@Unsp physl fx upr end humer, l arm, subs for fx w delay heal
S49.002K@Unsp physl fx upr end humer, l arm, subs for fx w nonunion
S49.002P@Unsp physl fx upr end humer, l arm, subs for fx w malunion
S49.002S@Unsp physeal fx upper end of humerus, left arm, sequela
S49.009A@Unsp physeal fx upper end of humerus, unsp arm, init
S49.009D@Unsp physl fx upr end humer, unsp arm, 7thD
S49.009G@Unsp physl fx upr end humer, unsp arm, 7thG
S49.009K@Unsp physl fx upr end humer, unsp arm, 7thK
S49.009P@Unsp physl fx upr end humer, unsp arm, 7thP
S49.009S@Unsp physeal fx upper end of humerus, unsp arm, sequela
S49.011A@Sltr-haris Type I physl fx upper end humer, right arm, init
S49.011D@Sltr-haris Type I physl fx upr end humer, r arm, 7thD
S49.011G@Sltr-haris Type I physl fx upr end humer, r arm, 7thG
S49.011K@Sltr-haris Type I physl fx upr end humer, r arm, 7thK
S49.011P@Sltr-haris Type I physl fx upr end humer, r arm, 7thP
S49.011S@Sltr-haris Type I physl fx upper end humer, right arm, sqla
S49.012A@Sltr-haris Type I physl fx upper end humer, left arm, init
S49.012D@Sltr-haris Type I physl fx upr end humer, l arm, 7thD
S49.012G@Sltr-haris Type I physl fx upr end humer, l arm, 7thG
S49.012K@Sltr-haris Type I physl fx upr end humer, l arm, 7thK
S49.012P@Sltr-haris Type I physl fx upr end humer, l arm, 7thP
S49.012S@Sltr-haris Type I physl fx upper end humer, left arm, sqla
S49.019A@Sltr-haris Type I physl fx upper end humer, unsp arm, init
S49.019D@Sltr-haris Type I physl fx upr end humer, unsp arm, 7thD
S49.019G@Sltr-haris Type I physl fx upr end humer, unsp arm, 7thG
S49.019K@Sltr-haris Type I physl fx upr end humer, unsp arm, 7thK
S49.019P@Sltr-haris Type I physl fx upr end humer, unsp arm, 7thP
S49.019S@Sltr-haris Type I physl fx upper end humer, unsp arm, sqla
S49.021A@Sltr-haris Type II physl fx upper end humer, right arm, init
S49.021D@Sltr-haris Type II physl fx upr end humer, r arm, 7thD
S49.021G@Sltr-haris Type II physl fx upr end humer, r arm, 7thG
S49.021K@Sltr-haris Type II physl fx upr end humer, r arm, 7thK
S49.021P@Sltr-haris Type II physl fx upr end humer, r arm, 7thP
S49.021S@Sltr-haris Type II physl fx upper end humer, right arm, sqla
S49.022A@Sltr-haris Type II physl fx upper end humer, left arm, init
S49.022D@Sltr-haris Type II physl fx upr end humer, l arm, 7thD
S49.022G@Sltr-haris Type II physl fx upr end humer, l arm, 7thG
S49.022K@Sltr-haris Type II physl fx upr end humer, l arm, 7thK
S49.022P@Sltr-haris Type II physl fx upr end humer, l arm, 7thP
S49.022S@Sltr-haris Type II physl fx upper end humer, left arm, sqla
S49.029A@Sltr-haris Type II physl fx upper end humer, unsp arm, init
S49.029D@Sltr-haris Type II physl fx upr end humer, unsp arm, 7thD
S49.029G@Sltr-haris Type II physl fx upr end humer, unsp arm, 7thG
S49.029K@Sltr-haris Type II physl fx upr end humer, unsp arm, 7thK
S49.029P@Sltr-haris Type II physl fx upr end humer, unsp arm, 7thP
S49.029S@Sltr-haris Type II physl fx upper end humer, unsp arm, sqla
S49.031A@Sltr-haris Type III physl fx upper end humer, r arm, init
S49.031D@Sltr-haris Type III physl fx upr end humer, r arm, 7thD
S49.031G@Sltr-haris Type III physl fx upr end humer, r arm, 7thG
S49.031K@Sltr-haris Type III physl fx upr end humer, r arm, 7thK
S49.031P@Sltr-haris Type III physl fx upr end humer, r arm, 7thP
S49.031S@Sltr-haris Type III physl fx upper end humer, r arm, sqla
S49.032A@Sltr-haris Type III physl fx upper end humer, left arm, init
S49.032D@Sltr-haris Type III physl fx upr end humer, l arm, 7thD
S49.032G@Sltr-haris Type III physl fx upr end humer, l arm, 7thG
S49.032K@Sltr-haris Type III physl fx upr end humer, l arm, 7thK
S49.032P@Sltr-haris Type III physl fx upr end humer, l arm, 7thP
S49.032S@Sltr-haris Type III physl fx upper end humer, left arm, sqla
S49.039A@Sltr-haris Type III physl fx upper end humer, unsp arm, init
S49.039D@Sltr-haris Type III physl fx upr end humer, unsp arm, 7thD
S49.039G@Sltr-haris Type III physl fx upr end humer, unsp arm, 7thG
S49.039K@Sltr-haris Type III physl fx upr end humer, unsp arm, 7thK
S49.039P@Sltr-haris Type III physl fx upr end humer, unsp arm, 7thP
S49.039S@Sltr-haris Type III physl fx upper end humer, unsp arm, sqla
S49.041A@Sltr-haris Type IV physl fx upper end humer, right arm, init
S49.041D@Sltr-haris Type IV physl fx upr end humer, r arm, 7thD
S49.041G@Sltr-haris Type IV physl fx upr end humer, r arm, 7thG
S49.041K@Sltr-haris Type IV physl fx upr end humer, r arm, 7thK
S49.041P@Sltr-haris Type IV physl fx upr end humer, r arm, 7thP
S49.041S@Sltr-haris Type IV physl fx upper end humer, right arm, sqla
S49.042A@Sltr-haris Type IV physl fx upper end humer, left arm, init
S49.042D@Sltr-haris Type IV physl fx upr end humer, l arm, 7thD
S49.042G@Sltr-haris Type IV physl fx upr end humer, l arm, 7thG
S49.042K@Sltr-haris Type IV physl fx upr end humer, l arm, 7thK
S49.042P@Sltr-haris Type IV physl fx upr end humer, l arm, 7thP
S49.042S@Sltr-haris Type IV physl fx upper end humer, left arm, sqla
S49.049A@Sltr-haris Type IV physl fx upper end humer, unsp arm, init
S49.049D@Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thD
S49.049G@Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thG
S49.049K@Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thK
S49.049P@Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thP
S49.049S@Sltr-haris Type IV physl fx upper end humer, unsp arm, sqla
S49.091A@Oth physeal fx upper end of humerus, right arm, init
S49.091D@Oth physl fx upr end humer, r arm, subs for fx w routn heal
S49.091G@Oth physl fx upr end humer, r arm, subs for fx w delay heal
S49.091K@Oth physl fx upper end humer, r arm, subs for fx w nonunion
S49.091P@Oth physl fx upper end humer, r arm, subs for fx w malunion
S49.091S@Oth physeal fx upper end of humerus, right arm, sequela
S49.092A@Oth physeal fracture of upper end of humerus, left arm, init
S49.092D@Oth physl fx upr end humer, l arm, subs for fx w routn heal
S49.092G@Oth physl fx upr end humer, l arm, subs for fx w delay heal
S49.092K@Oth physl fx upr end humer, left arm, subs for fx w nonunion
S49.092P@Oth physl fx upr end humer, left arm, subs for fx w malunion
S49.092S@Oth physeal fx upper end of humerus, left arm, sequela
S49.099A@Oth physeal fracture of upper end of humerus, unsp arm, init
S49.099D@Oth physl fx upr end humer, unsp arm, 7thD
S49.099G@Oth physl fx upr end humer, unsp arm, 7thG
S49.099K@Oth physl fx upr end humer, unsp arm, subs for fx w nonunion
S49.099P@Oth physl fx upr end humer, unsp arm, subs for fx w malunion
S49.099S@Oth physeal fx upper end of humerus, unsp arm, sequela
S49.101A@Unsp physeal fx lower end of humerus, right arm, init
S49.101D@Unsp physl fx low end humer, r arm, subs for fx w routn heal
S49.101G@Unsp physl fx low end humer, r arm, subs for fx w delay heal
S49.101K@Unsp physl fx low end humer, r arm, subs for fx w nonunion
S49.101P@Unsp physl fx low end humer, r arm, subs for fx w malunion
S49.101S@Unsp physeal fx lower end of humerus, right arm, sequela
S49.102A@Unsp physeal fx lower end of humerus, left arm, init
S49.102D@Unsp physl fx low end humer, l arm, subs for fx w routn heal
S49.102G@Unsp physl fx low end humer, l arm, subs for fx w delay heal
S49.102K@Unsp physl fx low end humer, l arm, subs for fx w nonunion
S49.102P@Unsp physl fx low end humer, l arm, subs for fx w malunion
S49.102S@Unsp physeal fx lower end of humerus, left arm, sequela
S49.109A@Unsp physeal fx lower end of humerus, unsp arm, init
S49.109D@Unsp physl fx low end humer, unsp arm, 7thD
S49.109G@Unsp physl fx low end humer, unsp arm, 7thG
S49.109K@Unsp physl fx low end humer, unsp arm, 7thK
S49.109P@Unsp physl fx low end humer, unsp arm, 7thP
S49.109S@Unsp physeal fx lower end of humerus, unsp arm, sequela
S49.111A@Sltr-haris Type I physl fx lower end humer, right arm, init
S49.111D@Sltr-haris Type I physl fx low end humer, r arm, 7thD
S49.111G@Sltr-haris Type I physl fx low end humer, r arm, 7thG
S49.111K@Sltr-haris Type I physl fx low end humer, r arm, 7thK
S49.111P@Sltr-haris Type I physl fx low end humer, r arm, 7thP
S49.111S@Sltr-haris Type I physl fx lower end humer, right arm, sqla
S49.112A@Sltr-haris Type I physl fx lower end humer, left arm, init
S49.112D@Sltr-haris Type I physl fx low end humer, l arm, 7thD
S49.112G@Sltr-haris Type I physl fx low end humer, l arm, 7thG
S49.112K@Sltr-haris Type I physl fx low end humer, l arm, 7thK
S49.112P@Sltr-haris Type I physl fx low end humer, l arm, 7thP
S49.112S@Sltr-haris Type I physl fx lower end humer, left arm, sqla
S49.119A@Sltr-haris Type I physl fx lower end humer, unsp arm, init
S49.119D@Sltr-haris Type I physl fx low end humer, unsp arm, 7thD
S49.119G@Sltr-haris Type I physl fx low end humer, unsp arm, 7thG
S49.119K@Sltr-haris Type I physl fx low end humer, unsp arm, 7thK
S49.119P@Sltr-haris Type I physl fx low end humer, unsp arm, 7thP
S49.119S@Sltr-haris Type I physl fx lower end humer, unsp arm, sqla
S49.121A@Sltr-haris Type II physl fx lower end humer, right arm, init
S49.121D@Sltr-haris Type II physl fx low end humer, r arm, 7thD
S49.121G@Sltr-haris Type II physl fx low end humer, r arm, 7thG
S49.121K@Sltr-haris Type II physl fx low end humer, r arm, 7thK
S49.121P@Sltr-haris Type II physl fx low end humer, r arm, 7thP
S49.121S@Sltr-haris Type II physl fx lower end humer, right arm, sqla
S49.122A@Sltr-haris Type II physl fx lower end humer, left arm, init
S49.122D@Sltr-haris Type II physl fx low end humer, l arm, 7thD
S49.122G@Sltr-haris Type II physl fx low end humer, l arm, 7thG
S49.122K@Sltr-haris Type II physl fx low end humer, l arm, 7thK
S49.122P@Sltr-haris Type II physl fx low end humer, l arm, 7thP
S49.122S@Sltr-haris Type II physl fx lower end humer, left arm, sqla
S49.129A@Sltr-haris Type II physl fx lower end humer, unsp arm, init
S49.129D@Sltr-haris Type II physl fx low end humer, unsp arm, 7thD
S49.129G@Sltr-haris Type II physl fx low end humer, unsp arm, 7thG
S49.129K@Sltr-haris Type II physl fx low end humer, unsp arm, 7thK
S49.129P@Sltr-haris Type II physl fx low end humer, unsp arm, 7thP
S49.129S@Sltr-haris Type II physl fx lower end humer, unsp arm, sqla
S49.131A@Sltr-haris Type III physl fx low end humer, right arm, init
S49.131D@Sltr-haris Type III physl fx low end humer, r arm, 7thD
S49.131G@Sltr-haris Type III physl fx low end humer, r arm, 7thG
S49.131K@Sltr-haris Type III physl fx low end humer, r arm, 7thK
S49.131P@Sltr-haris Type III physl fx low end humer, r arm, 7thP
S49.131S@Sltr-haris Type III physl fx low end humer, right arm, sqla
S49.132A@Sltr-haris Type III physl fx lower end humer, left arm, init
S49.132D@Sltr-haris Type III physl fx low end humer, l arm, 7thD
S49.132G@Sltr-haris Type III physl fx low end humer, l arm, 7thG
S49.132K@Sltr-haris Type III physl fx low end humer, l arm, 7thK
S49.132P@Sltr-haris Type III physl fx low end humer, l arm, 7thP
S49.132S@Sltr-haris Type III physl fx lower end humer, left arm, sqla
S49.139A@Sltr-haris Type III physl fx lower end humer, unsp arm, init
S49.139D@Sltr-haris Type III physl fx low end humer, unsp arm, 7thD
S49.139G@Sltr-haris Type III physl fx low end humer, unsp arm, 7thG
S49.139K@Sltr-haris Type III physl fx low end humer, unsp arm, 7thK
S49.139P@Sltr-haris Type III physl fx low end humer, unsp arm, 7thP
S49.139S@Sltr-haris Type III physl fx lower end humer, unsp arm, sqla
S49.141A@Sltr-haris Type IV physl fx lower end humer, right arm, init
S49.141D@Sltr-haris Type IV physl fx low end humer, r arm, 7thD
S49.141G@Sltr-haris Type IV physl fx low end humer, r arm, 7thG
S49.141K@Sltr-haris Type IV physl fx low end humer, r arm, 7thK
S49.141P@Sltr-haris Type IV physl fx low end humer, r arm, 7thP
S49.141S@Sltr-haris Type IV physl fx lower end humer, right arm, sqla
S49.142A@Sltr-haris Type IV physl fx lower end humer, left arm, init
S49.142D@Sltr-haris Type IV physl fx low end humer, l arm, 7thD
S49.142G@Sltr-haris Type IV physl fx low end humer, l arm, 7thG
S49.142K@Sltr-haris Type IV physl fx low end humer, l arm, 7thK
S49.142P@Sltr-haris Type IV physl fx low end humer, l arm, 7thP
S49.142S@Sltr-haris Type IV physl fx lower end humer, left arm, sqla
S49.149A@Sltr-haris Type IV physl fx lower end humer, unsp arm, init
S49.149D@Sltr-haris Type IV physl fx low end humer, unsp arm, 7thD
S49.149G@Sltr-haris Type IV physl fx low end humer, unsp arm, 7thG
S49.149K@Sltr-haris Type IV physl fx low end humer, unsp arm, 7thK
S49.149P@Sltr-haris Type IV physl fx low end humer, unsp arm, 7thP
S49.149S@Sltr-haris Type IV physl fx lower end humer, unsp arm, sqla
S49.191A@Oth physeal fx lower end of humerus, right arm, init
S49.191D@Oth physl fx low end humer, r arm, subs for fx w routn heal
S49.191G@Oth physl fx low end humer, r arm, subs for fx w delay heal
S49.191K@Oth physl fx low end humer, r arm, subs for fx w nonunion
S49.191P@Oth physl fx low end humer, r arm, subs for fx w malunion
S49.191S@Oth physeal fx lower end of humerus, right arm, sequela
S49.192A@Oth physeal fracture of lower end of humerus, left arm, init
S49.192D@Oth physl fx low end humer, l arm, subs for fx w routn heal
S49.192G@Oth physl fx low end humer, l arm, subs for fx w delay heal
S49.192K@Oth physl fx low end humer, left arm, subs for fx w nonunion
S49.192P@Oth physl fx low end humer, left arm, subs for fx w malunion
S49.192S@Oth physeal fx lower end of humerus, left arm, sequela
S49.199A@Oth physeal fracture of lower end of humerus, unsp arm, init
S49.199D@Oth physl fx low end humer, unsp arm, 7thD
S49.199G@Oth physl fx low end humer, unsp arm, 7thG
S49.199K@Oth physl fx low end humer, unsp arm, subs for fx w nonunion
S49.199P@Oth physl fx low end humer, unsp arm, subs for fx w malunion
S49.199S@Oth physeal fx lower end of humerus, unsp arm, sequela
S49.80XA@Oth injuries of shoulder and upper arm, unsp arm, init
S49.80XD@Oth injuries of shoulder and upper arm, unsp arm, subs
S49.80XS@Oth injuries of shoulder and upper arm, unsp arm, sequela
S49.81XA@Oth injuries of right shoulder and upper arm, init encntr
S49.81XD@Oth injuries of right shoulder and upper arm, subs encntr
S49.81XS@Oth injuries of right shoulder and upper arm, sequela
S49.82XA@Oth injuries of left shoulder and upper arm, init encntr
S49.82XD@Oth injuries of left shoulder and upper arm, subs encntr
S49.82XS@Oth injuries of left shoulder and upper arm, sequela
S49.90XA@Unsp injury of shoulder and upper arm, unsp arm, init encntr
S49.90XD@Unsp injury of shoulder and upper arm, unsp arm, subs encntr
S49.90XS@Unsp injury of shoulder and upper arm, unsp arm, sequela
S49.91XA@Unsp injury of right shoulder and upper arm, init encntr
S49.91XD@Unsp injury of right shoulder and upper arm, subs encntr
S49.91XS@Unspecified injury of right shoulder and upper arm, sequela
S49.92XA@Unsp injury of left shoulder and upper arm, init encntr
S49.92XD@Unsp injury of left shoulder and upper arm, subs encntr
S49.92XS@Unspecified injury of left shoulder and upper arm, sequela
#
S50.00XA@Contusion of unspecified elbow, initial encounter
S50.00XD@Contusion of unspecified elbow, subsequent encounter
S50.00XS@Contusion of unspecified elbow, sequela
S50.01XA@Contusion of right elbow, initial encounter
S50.01XD@Contusion of right elbow, subsequent encounter
S50.01XS@Contusion of right elbow, sequela
S50.02XA@Contusion of left elbow, initial encounter
S50.02XD@Contusion of left elbow, subsequent encounter
S50.02XS@Contusion of left elbow, sequela
S50.10XA@Contusion of unspecified forearm, initial encounter
S50.10XD@Contusion of unspecified forearm, subsequent encounter
S50.10XS@Contusion of unspecified forearm, sequela
S50.11XA@Contusion of right forearm, initial encounter
S50.11XD@Contusion of right forearm, subsequent encounter
S50.11XS@Contusion of right forearm, sequela
S50.12XA@Contusion of left forearm, initial encounter
S50.12XD@Contusion of left forearm, subsequent encounter
S50.12XS@Contusion of left forearm, sequela
S50.311A@Abrasion of right elbow, initial encounter
S50.311D@Abrasion of right elbow, subsequent encounter
S50.311S@Abrasion of right elbow, sequela
S50.312A@Abrasion of left elbow, initial encounter
S50.312D@Abrasion of left elbow, subsequent encounter
S50.312S@Abrasion of left elbow, sequela
S50.319A@Abrasion of unspecified elbow, initial encounter
S50.319D@Abrasion of unspecified elbow, subsequent encounter
S50.319S@Abrasion of unspecified elbow, sequela
S50.321A@Blister (nonthermal) of right elbow, initial encounter
S50.321D@Blister (nonthermal) of right elbow, subsequent encounter
S50.321S@Blister (nonthermal) of right elbow, sequela
S50.322A@Blister (nonthermal) of left elbow, initial encounter
S50.322D@Blister (nonthermal) of left elbow, subsequent encounter
S50.322S@Blister (nonthermal) of left elbow, sequela
S50.329A@Blister (nonthermal) of unspecified elbow, initial encounter
S50.329D@Blister (nonthermal) of unspecified elbow, subs encntr
S50.329S@Blister (nonthermal) of unspecified elbow, sequela
