V00.01XA@Ped on foot injured in collision w roller-skater, init
V38.0XXA@Driver of 3-whl mv inj in nonclsn trnsp acc nontraf, init
V38.0XXD@Driver of 3-whl mv inj in nonclsn trnsp acc nontraf, subs
V38.0XXS@Driver of 3-whl mv inj in nonclsn trnsp acc nontraf, sequela
V38.1XXA@Pasngr in 3-whl mv inj in nonclsn trnsp acc nontraf, init
V38.1XXD@Pasngr in 3-whl mv inj in nonclsn trnsp acc nontraf, subs
V38.1XXS@Pasngr in 3-whl mv inj in nonclsn trnsp acc nontraf, sequela
V38.2XXA@Person outsd 3-whl mv inj in nonclsn trnsp acc nontraf, init
V38.2XXD@Person outsd 3-whl mv inj in nonclsn trnsp acc nontraf, subs
V38.2XXS@Person outsd 3-whl mv inj in nonclsn trnsp acc nontraf, sqla
V38.3XXA@Occup of 3-whl mv injured in nonclsn trnsp acc nontraf, init
V38.3XXD@Occup of 3-whl mv injured in nonclsn trnsp acc nontraf, subs
V38.3XXS@Occup of 3-whl mv inj in nonclsn trnsp acc nontraf, sequela
V38.4XXA@Prsn brd/alit a 3-whl mv injured in nonclsn trnsp acc, init
V38.4XXD@Prsn brd/alit a 3-whl mv injured in nonclsn trnsp acc, subs
V38.4XXS@Prsn brd/alit a 3-whl mv inj in nonclsn trnsp acc, sequela
V38.5XXA@Driver of 3-whl mv inj in nonclsn trnsp acc in traf, init
V38.5XXD@Driver of 3-whl mv inj in nonclsn trnsp acc in traf, subs
V38.5XXS@Driver of 3-whl mv inj in nonclsn trnsp acc in traf, sequela
V38.6XXA@Pasngr in 3-whl mv inj in nonclsn trnsp acc in traf, init
V38.6XXD@Pasngr in 3-whl mv inj in nonclsn trnsp acc in traf, subs
V38.6XXS@Pasngr in 3-whl mv inj in nonclsn trnsp acc in traf, sequela
V38.7XXA@Person outsd 3-whl mv inj in nonclsn trnsp acc in traf, init
V38.7XXD@Person outsd 3-whl mv inj in nonclsn trnsp acc in traf, subs
V38.7XXS@Person outsd 3-whl mv inj in nonclsn trnsp acc in traf, sqla
V38.9XXA@Occup of 3-whl mv injured in nonclsn trnsp acc in traf, init
V38.9XXD@Occup of 3-whl mv injured in nonclsn trnsp acc in traf, subs
V38.9XXS@Occup of 3-whl mv inj in nonclsn trnsp acc in traf, sequela
#
V39.00XA@Driver of 3-whl mv injured in clsn w unsp mv nontraf, init
V39.00XD@Driver of 3-whl mv injured in clsn w unsp mv nontraf, subs
V39.00XS@Driver of 3-whl mv inj in clsn w unsp mv nontraf, sequela
V39.09XA@Driver of 3-whl mv injured in clsn w oth mv nontraf, init
V39.09XD@Driver of 3-whl mv injured in clsn w oth mv nontraf, subs
V39.09XS@Driver of 3-whl mv injured in clsn w oth mv nontraf, sequela
V39.10XA@Pasngr in 3-whl mv injured in clsn w unsp mv nontraf, init
V39.10XD@Pasngr in 3-whl mv injured in clsn w unsp mv nontraf, subs
V39.10XS@Pasngr in 3-whl mv inj in clsn w unsp mv nontraf, sequela
V39.19XA@Passenger in 3-whl mv injured in clsn w oth mv nontraf, init
V39.19XD@Passenger in 3-whl mv injured in clsn w oth mv nontraf, subs
V39.19XS@Pasngr in 3-whl mv injured in clsn w oth mv nontraf, sequela
V39.20XA@Occup of 3-whl mv injured in clsn w unsp mv nontraf, init
V39.20XD@Occup of 3-whl mv injured in clsn w unsp mv nontraf, subs
V39.20XS@Occup of 3-whl mv injured in clsn w unsp mv nontraf, sequela
V39.29XA@Occup of 3-whl mv injured in clsn w oth mv nontraf, init
V39.29XD@Occup of 3-whl mv injured in clsn w oth mv nontraf, subs
V39.29XS@Occup of 3-whl mv injured in clsn w oth mv nontraf, sequela
V39.3XXA@Occupant (driver) of 3-whl mv injured in unsp nontraf, init
V39.3XXD@Occupant (driver) of 3-whl mv injured in unsp nontraf, subs
V39.3XXS@Occupant of 3-whl mv injured in unsp nontraf, sequela
V39.40XA@Driver of 3-whl mv injured in clsn w unsp mv in traf, init
V39.40XD@Driver of 3-whl mv injured in clsn w unsp mv in traf, subs
V39.40XS@Driver of 3-whl mv inj in clsn w unsp mv in traf, sequela
V39.49XA@Driver of 3-whl mv injured in clsn w oth mv in traf, init
V39.49XD@Driver of 3-whl mv injured in clsn w oth mv in traf, subs
V39.49XS@Driver of 3-whl mv injured in clsn w oth mv in traf, sequela
V39.50XA@Pasngr in 3-whl mv injured in clsn w unsp mv in traf, init
V39.50XD@Pasngr in 3-whl mv injured in clsn w unsp mv in traf, subs
V39.50XS@Pasngr in 3-whl mv inj in clsn w unsp mv in traf, sequela
V39.59XA@Passenger in 3-whl mv injured in clsn w oth mv in traf, init
V39.59XD@Passenger in 3-whl mv injured in clsn w oth mv in traf, subs
V39.59XS@Pasngr in 3-whl mv injured in clsn w oth mv in traf, sequela
V39.60XA@Occup of 3-whl mv injured in clsn w unsp mv in traf, init
V39.60XD@Occup of 3-whl mv injured in clsn w unsp mv in traf, subs
V39.60XS@Occup of 3-whl mv injured in clsn w unsp mv in traf, sequela
V39.69XA@Occup of 3-whl mv injured in clsn w oth mv in traf, init
V39.69XD@Occup of 3-whl mv injured in clsn w oth mv in traf, subs
V39.69XS@Occup of 3-whl mv injured in clsn w oth mv in traf, sequela
V39.81XA@Occ of 3-whl mv injured in trnsp acc w miltry vehicle, init
V39.81XD@Occ of 3-whl mv injured in trnsp acc w miltry vehicle, subs
V39.81XS@Occ of 3-whl mv inj in trnsp acc w miltry vehicle, sequela
V39.89XA@Occupant (driver) of 3-whl mv injured in oth trnsp acc, init
V39.89XD@Occupant (driver) of 3-whl mv injured in oth trnsp acc, subs
V39.89XS@Occupant of 3-whl mv injured in oth trnsp acc, sequela
V39.9XXA@Occupant (driver) of 3-whl mv injured in unsp traf, init
V39.9XXD@Occupant (driver) of 3-whl mv injured in unsp traf, subs
V39.9XXS@Occupant (driver) of 3-whl mv injured in unsp traf, sequela
#
V40.0XXA@Car driver injured in collision w ped/anml nontraf, init
V40.0XXD@Car driver injured in collision w ped/anml nontraf, subs
V40.0XXS@Car driver injured in collision w ped/anml nontraf, sequela
V40.1XXA@Car passenger injured in collision w ped/anml nontraf, init
V40.1XXD@Car passenger injured in collision w ped/anml nontraf, subs
V40.1XXS@Car passenger injured in clsn w ped/anml nontraf, sequela
V40.2XXA@Person outside car injured in clsn w ped/anml nontraf, init
V40.2XXD@Person outside car injured in clsn w ped/anml nontraf, subs
V40.2XXS@Person outside car inj in clsn w ped/anml nontraf, sequela
V40.3XXA@Unsp car occupant injured in clsn w ped/anml nontraf, init
V40.3XXD@Unsp car occupant injured in clsn w ped/anml nontraf, subs
V40.3XXS@Unsp car occ injured in clsn w ped/anml nontraf, sequela
V40.4XXA@Prsn brd/alit a car injured in collision w ped/anml, init
V40.4XXD@Prsn brd/alit a car injured in collision w ped/anml, subs
V40.4XXS@Prsn brd/alit a car injured in collision w ped/anml, sequela
V40.5XXA@Car driver injured in collision w ped/anml in traf, init
V40.5XXD@Car driver injured in collision w ped/anml in traf, subs
V40.5XXS@Car driver injured in collision w ped/anml in traf, sequela
V40.6XXA@Car passenger injured in collision w ped/anml in traf, init
V40.6XXD@Car passenger injured in collision w ped/anml in traf, subs
V40.6XXS@Car passenger injured in clsn w ped/anml in traf, sequela
V40.7XXA@Person outside car injured in clsn w ped/anml in traf, init
V40.7XXD@Person outside car injured in clsn w ped/anml in traf, subs
V40.7XXS@Person outside car inj in clsn w ped/anml in traf, sequela
V40.9XXA@Unsp car occupant injured in clsn w ped/anml in traf, init
V40.9XXD@Unsp car occupant injured in clsn w ped/anml in traf, subs
V40.9XXS@Unsp car occ injured in clsn w ped/anml in traf, sequela
#
V41.0XXA@Car driver injured in collision w pedal cycle nontraf, init
V41.0XXD@Car driver injured in collision w pedal cycle nontraf, subs
V41.0XXS@Car driver injured in collision w pedl cyc nontraf, sequela
V41.1XXA@Car passenger injured in collision w pedl cyc nontraf, init
V41.1XXD@Car passenger injured in collision w pedl cyc nontraf, subs
V41.1XXS@Car passenger injured in clsn w pedl cyc nontraf, sequela
V41.2XXA@Person outside car injured in clsn w pedl cyc nontraf, init
V41.2XXD@Person outside car injured in clsn w pedl cyc nontraf, subs
V41.2XXS@Person outside car inj in clsn w pedl cyc nontraf, sequela
V41.3XXA@Unsp car occupant injured in clsn w pedl cyc nontraf, init
V41.3XXD@Unsp car occupant injured in clsn w pedl cyc nontraf, subs
V41.3XXS@Unsp car occ injured in clsn w pedl cyc nontraf, sequela
V41.4XXA@Prsn brd/alit a car injured in collision w pedal cycle, init
V41.4XXD@Prsn brd/alit a car injured in collision w pedal cycle, subs
V41.4XXS@Prsn brd/alit a car injured in collision w pedl cyc, sequela
V41.5XXA@Car driver injured in collision w pedal cycle in traf, init
V41.5XXD@Car driver injured in collision w pedal cycle in traf, subs
V41.5XXS@Car driver injured in collision w pedl cyc in traf, sequela
V41.6XXA@Car passenger injured in collision w pedl cyc in traf, init
V41.6XXD@Car passenger injured in collision w pedl cyc in traf, subs
V41.6XXS@Car passenger injured in clsn w pedl cyc in traf, sequela
V41.7XXA@Person outside car injured in clsn w pedl cyc in traf, init
V41.7XXD@Person outside car injured in clsn w pedl cyc in traf, subs
V41.7XXS@Person outside car inj in clsn w pedl cyc in traf, sequela
V41.9XXA@Unsp car occupant injured in clsn w pedl cyc in traf, init
V41.9XXD@Unsp car occupant injured in clsn w pedl cyc in traf, subs
V41.9XXS@Unsp car occ injured in clsn w pedl cyc in traf, sequela
#
V42.0XXA@Car driver injured in collision w 2/3-whl mv nontraf, init
V42.0XXD@Car driver injured in collision w 2/3-whl mv nontraf, subs
V42.0XXS@Car driver injured in clsn w 2/3-whl mv nontraf, sequela
V42.1XXA@Car passenger injured in clsn w 2/3-whl mv nontraf, init
V42.1XXD@Car passenger injured in clsn w 2/3-whl mv nontraf, subs
V42.1XXS@Car passenger injured in clsn w 2/3-whl mv nontraf, sequela
V42.2XXA@Person outside car inj in clsn w 2/3-whl mv nontraf, init
V42.2XXD@Person outside car inj in clsn w 2/3-whl mv nontraf, subs
V42.2XXS@Person outside car inj in clsn w 2/3-whl mv nontraf, sequela
V42.3XXA@Unsp car occupant injured in clsn w 2/3-whl mv nontraf, init
V42.3XXD@Unsp car occupant injured in clsn w 2/3-whl mv nontraf, subs
V42.3XXS@Unsp car occ injured in clsn w 2/3-whl mv nontraf, sequela
V42.4XXA@Prsn brd/alit a car injured in collision w 2/3-whl mv, init
V42.4XXD@Prsn brd/alit a car injured in collision w 2/3-whl mv, subs
V42.4XXS@Prsn brd/alit a car injured in clsn w 2/3-whl mv, sequela
V42.5XXA@Car driver injured in collision w 2/3-whl mv in traf, init
V42.5XXD@Car driver injured in collision w 2/3-whl mv in traf, subs
V42.5XXS@Car driver injured in clsn w 2/3-whl mv in traf, sequela
V42.6XXA@Car passenger injured in clsn w 2/3-whl mv in traf, init
V42.6XXD@Car passenger injured in clsn w 2/3-whl mv in traf, subs
V42.6XXS@Car passenger injured in clsn w 2/3-whl mv in traf, sequela
V42.7XXA@Person outside car inj in clsn w 2/3-whl mv in traf, init
V42.7XXD@Person outside car inj in clsn w 2/3-whl mv in traf, subs
V42.7XXS@Person outside car inj in clsn w 2/3-whl mv in traf, sequela
V42.9XXA@Unsp car occupant injured in clsn w 2/3-whl mv in traf, init
V42.9XXD@Unsp car occupant injured in clsn w 2/3-whl mv in traf, subs
V42.9XXS@Unsp car occ injured in clsn w 2/3-whl mv in traf, sequela
#
V43.01XA@Car driver injured in collision w SUV nontraf, init
V43.01XD@Car driver injured in collision w SUV nontraf, subs
V43.01XS@Car driver injured in collision w SUV nontraf, sequela
V43.02XA@Car driver injured in collision w car nontraf, init
V43.02XD@Car driver injured in collision w car nontraf, subs
V43.02XS@Car driver injured in collision w car nontraf, sequela
V43.03XA@Car driver injured in clsn w pick-up truck nontraf, init
V43.03XD@Car driver injured in clsn w pick-up truck nontraf, subs
V43.03XS@Car driver injured in clsn w pick-up truck nontraf, sequela
V43.04XA@Car driver injured in collision w van nontraf, init
V43.04XD@Car driver injured in collision w van nontraf, subs
V43.04XS@Car driver injured in collision w van nontraf, sequela
V43.11XA@Car passenger injured in collision w SUV nontraf, init
V43.11XD@Car passenger injured in collision w SUV nontraf, subs
V43.11XS@Car passenger injured in collision w SUV nontraf, sequela
V43.12XA@Car passenger injured in collision w car nontraf, init
V43.12XD@Car passenger injured in collision w car nontraf, subs
V43.12XS@Car passenger injured in collision w car nontraf, sequela
V43.13XA@Car passenger injured in collision w pick-up nontraf, init
V43.13XD@Car passenger injured in collision w pick-up nontraf, subs
V43.13XS@Car passenger injured in clsn w pick-up nontraf, sequela
V43.14XA@Car passenger injured in collision w van nontraf, init
V43.14XD@Car passenger injured in collision w van nontraf, subs
V43.14XS@Car passenger injured in collision w van nontraf, sequela
V43.21XA@Person outside car injured in collision w SUV nontraf, init
V43.21XD@Person outside car injured in collision w SUV nontraf, subs
V43.21XS@Person outside car injured in clsn w SUV nontraf, sequela
V43.22XA@Person outside car injured in collision w car nontraf, init
V43.22XD@Person outside car injured in collision w car nontraf, subs
V43.22XS@Person outside car injured in clsn w car nontraf, sequela
V43.23XA@Person outside car inj in clsn w pick-up truck nontraf, init
V43.23XD@Person outside car inj in clsn w pick-up truck nontraf, subs
V43.23XS@Person outsd car inj in clsn w pk-up truck nontraf, sequela
V43.24XA@Person outside car injured in collision w van nontraf, init
V43.24XD@Person outside car injured in collision w van nontraf, subs
V43.24XS@Person outside car injured in clsn w van nontraf, sequela
V43.31XA@Unsp car occupant injured in collision w SUV nontraf, init
V43.31XD@Unsp car occupant injured in collision w SUV nontraf, subs
V43.31XS@Unsp car occupant injured in clsn w SUV nontraf, sequela
V43.32XA@Unsp car occupant injured in collision w car nontraf, init
V43.32XD@Unsp car occupant injured in collision w car nontraf, subs
V43.32XS@Unsp car occupant injured in clsn w car nontraf, sequela
V43.33XA@Unsp car occ injured in clsn w pick-up truck nontraf, init
V43.33XD@Unsp car occ injured in clsn w pick-up truck nontraf, subs
V43.33XS@Unsp car occ inj in clsn w pick-up truck nontraf, sequela
V43.34XA@Unsp car occupant injured in collision w van nontraf, init
V43.34XD@Unsp car occupant injured in collision w van nontraf, subs
V43.34XS@Unsp car occupant injured in clsn w van nontraf, sequela
V43.41XA@Prsn brd/alit a car injured in collision w SUV, init
V43.41XD@Prsn brd/alit a car injured in collision w SUV, subs
V43.41XS@Prsn brd/alit a car injured in collision w SUV, sequela
V43.42XA@Prsn brd/alit a car injured in collision w car, init
V43.42XD@Prsn brd/alit a car injured in collision w car, subs
V43.42XS@Prsn brd/alit a car injured in collision w car, sequela
V43.43XA@Prsn brd/alit a car injured in clsn w pick-up truck, init
V43.43XD@Prsn brd/alit a car injured in clsn w pick-up truck, subs
V43.43XS@Prsn brd/alit a car injured in clsn w pick-up truck, sequela
V43.44XA@Prsn brd/alit a car injured in collision w van, init
V43.44XD@Prsn brd/alit a car injured in collision w van, subs
V43.44XS@Prsn brd/alit a car injured in collision w van, sequela
V43.51XA@Car driver injured in collision w SUV in traf, init
V43.51XD@Car driver injured in collision w SUV in traf, subs
V43.51XS@Car driver injured in collision w SUV in traf, sequela
V43.52XA@Car driver injured in collision w car in traf, init
V43.52XD@Car driver injured in collision w car in traf, subs
V43.52XS@Car driver injured in collision w car in traf, sequela
V43.53XA@Car driver injured in clsn w pick-up truck in traf, init
V43.53XD@Car driver injured in clsn w pick-up truck in traf, subs
V43.53XS@Car driver injured in clsn w pick-up truck in traf, sequela
V43.54XA@Car driver injured in collision w van in traf, init
V43.54XD@Car driver injured in collision w van in traf, subs
V43.54XS@Car driver injured in collision w van in traf, sequela
V43.61XA@Car passenger injured in collision w SUV in traf, init
V43.61XD@Car passenger injured in collision w SUV in traf, subs
V43.61XS@Car passenger injured in collision w SUV in traf, sequela
V43.62XA@Car passenger injured in collision w car in traf, init
V43.62XD@Car passenger injured in collision w car in traf, subs
V43.62XS@Car passenger injured in collision w car in traf, sequela
V43.63XA@Car passenger injured in clsn w pick-up truck in traf, init
V43.63XD@Car passenger injured in clsn w pick-up truck in traf, subs
V43.63XS@Car pasngr injured in clsn w pick-up truck in traf, sequela
V43.64XA@Car passenger injured in collision w van in traf, init
V43.64XD@Car passenger injured in collision w van in traf, subs
V43.64XS@Car passenger injured in collision w van in traf, sequela
V43.71XA@Person outside car injured in collision w SUV in traf, init
V43.71XD@Person outside car injured in collision w SUV in traf, subs
V43.71XS@Person outside car injured in clsn w SUV in traf, sequela
V43.72XA@Person outside car injured in collision w car in traf, init
V43.72XD@Person outside car injured in collision w car in traf, subs
V43.72XS@Person outside car injured in clsn w car in traf, sequela
V43.73XA@Person outside car inj in clsn w pick-up truck in traf, init
V43.73XD@Person outside car inj in clsn w pick-up truck in traf, subs
V43.73XS@Person outsd car inj in clsn w pk-up truck in traf, sequela
V43.74XA@Person outside car injured in collision w van in traf, init
V43.74XD@Person outside car injured in collision w van in traf, subs
V43.74XS@Person outside car injured in clsn w van in traf, sequela
V43.91XA@Unsp car occupant injured in collision w SUV in traf, init
V43.91XD@Unsp car occupant injured in collision w SUV in traf, subs
V43.91XS@Unsp car occupant injured in clsn w SUV in traf, sequela
V43.92XA@Unsp car occupant injured in collision w car in traf, init
V43.92XD@Unsp car occupant injured in collision w car in traf, subs
V43.92XS@Unsp car occupant injured in clsn w car in traf, sequela
V43.93XA@Unsp car occ injured in clsn w pick-up truck in traf, init
V43.93XD@Unsp car occ injured in clsn w pick-up truck in traf, subs
V43.93XS@Unsp car occ inj in clsn w pick-up truck in traf, sequela
V43.94XA@Unsp car occupant injured in collision w van in traf, init
V43.94XD@Unsp car occupant injured in collision w van in traf, subs
V43.94XS@Unsp car occupant injured in clsn w van in traf, sequela
#
V44.0XXA@Car driver injured in collision w hv veh nontraf, init
V44.0XXD@Car driver injured in collision w hv veh nontraf, subs
V44.0XXS@Car driver injured in collision w hv veh nontraf, sequela
V44.1XXA@Car passenger injured in collision w hv veh nontraf, init
V44.1XXD@Car passenger injured in collision w hv veh nontraf, subs
V44.1XXS@Car passenger injured in collision w hv veh nontraf, sequela
V44.2XXA@Person outside car injured in clsn w hv veh nontraf, init
V44.2XXD@Person outside car injured in clsn w hv veh nontraf, subs
V44.2XXS@Person outside car injured in clsn w hv veh nontraf, sequela
V44.3XXA@Unsp car occupant injured in clsn w hv veh nontraf, init
V44.3XXD@Unsp car occupant injured in clsn w hv veh nontraf, subs
V44.3XXS@Unsp car occupant injured in clsn w hv veh nontraf, sequela
V44.4XXA@Prsn brd/alit a car injured in collision w hv veh, init
V44.4XXD@Prsn brd/alit a car injured in collision w hv veh, subs
V44.4XXS@Prsn brd/alit a car injured in collision w hv veh, sequela
V44.5XXA@Car driver injured in collision w hv veh in traf, init
V44.5XXD@Car driver injured in collision w hv veh in traf, subs
V44.5XXS@Car driver injured in collision w hv veh in traf, sequela
V44.6XXA@Car passenger injured in collision w hv veh in traf, init
V44.6XXD@Car passenger injured in collision w hv veh in traf, subs
V44.6XXS@Car passenger injured in collision w hv veh in traf, sequela
V44.7XXA@Person outside car injured in clsn w hv veh in traf, init
V44.7XXD@Person outside car injured in clsn w hv veh in traf, subs
V44.7XXS@Person outside car injured in clsn w hv veh in traf, sequela
V44.9XXA@Unsp car occupant injured in clsn w hv veh in traf, init
V44.9XXD@Unsp car occupant injured in clsn w hv veh in traf, subs
V44.9XXS@Unsp car occupant injured in clsn w hv veh in traf, sequela
#
V45.0XXA@Car driver injured in collision w rail trn/veh nontraf, init
V45.0XXD@Car driver injured in collision w rail trn/veh nontraf, subs
V45.0XXS@Car driver injured in clsn w rail trn/veh nontraf, sequela
V45.1XXA@Car passenger injured in clsn w rail trn/veh nontraf, init
V45.1XXD@Car passenger injured in clsn w rail trn/veh nontraf, subs
V45.1XXS@Car pasngr injured in clsn w rail trn/veh nontraf, sequela
V45.2XXA@Person outside car inj in clsn w rail trn/veh nontraf, init
V45.2XXD@Person outside car inj in clsn w rail trn/veh nontraf, subs
V45.2XXS@Person outsd car inj in clsn w rail trn/veh nontraf, sequela
V45.3XXA@Unsp car occ injured in clsn w rail trn/veh nontraf, init
V45.3XXD@Unsp car occ injured in clsn w rail trn/veh nontraf, subs
V45.3XXS@Unsp car occ injured in clsn w rail trn/veh nontraf, sequela
V45.4XXA@Prsn brd/alit a car injured in clsn w rail trn/veh, init
V45.4XXD@Prsn brd/alit a car injured in clsn w rail trn/veh, subs
V45.4XXS@Prsn brd/alit a car injured in clsn w rail trn/veh, sequela
V45.5XXA@Car driver injured in collision w rail trn/veh in traf, init
V45.5XXD@Car driver injured in collision w rail trn/veh in traf, subs
V45.5XXS@Car driver injured in clsn w rail trn/veh in traf, sequela
